autor,partido,uf,discurso,data,id_sessao
RUI FALCÃO,PT,SP,"Sr. Presidente, Srs. Deputados, Sras. Deputadas, correram milhões até aqui, milhões do marqueteiro do Bolsonaro, para fazer propaganda de que essa reforma era boa, outros milhões para os chamados comunicadores populares, para falarem bem de uma coisa que é ruim, e, agora, dizem os jornais, que correm milhões sem fundo, porque não sabem como vão pagar o que está prometido. Mas, Presidente Rodrigo Maia, os jornais também atribuem a V.Exa. o sucesso dessa reforma. Nós sabemos que V.Exa. é um Presidente que tem ética e cujos pensamentos liberais são públicos e notórios. Nunca escondeu isso de ninguém. Mas é preciso dizer que essa reforma não é sua, Presidente. Essa reforma é do Bolsonaro, do Paulo Guedes e do sistema financeiro e bancário. É conveniente que se diga que é uma reforma feita pelo Congresso Nacional. Mas o esfolamento dos pobres, que já veio do Palácio, continua aqui, e é baldado imaginar que  .Exa. continuará sendo o Sr. Reforma. Os donos da reforma, fora aqui do nosso círculo de políticos, são Jair Bolsonaro e suas matilhas, que por ela rosnaram nas redes e nas ruas dos domingos. Como diz o jornalista Fernando Brito, os cães não se amansam quando se lhes dá carne, nem dividem a presa. Então, consumada a reforma e saciado temporariamente o apetite desses que estão liquidando o Brasil, haverá uma grande ofensiva sobre os movimentos sociais, sobre esta Casa. E se esse Juiz Sergio Moro, cujos malfeitos são públicos e notórios, não for afastado, o País vai ficar pior do que está agora. Portanto, essa reforma cruel, que sacrifica os pobres, as viúvas, os órfãos, é o prenúncio de maus tempos. Mas nós estaremos aqui na tribuna e nas ruas para defender o povo brasileiro. (Palmas.)",10/07/2019,191
Rodrigo Maia,DEM,RJ,"Tem a palavra o Deputado Giovani Cherini, por 3 minutos.",10/07/2019,191
GIOVANI CHERINI,PL,RS,"Sr. Presidente, Sras. e Srs. Parlamentares, muita gente às vezes não entende o processo de discussão aqui nesta Casa. Tenho certeza de que está tudo maduro, está tudo pronto. Estamos já na parte mais importante da votação desse projeto, porque agora é a votação do principal, do cerne, do texto do Relator Samuel Moreira. É óbvio que nós temos muitas dificuldades, muitos problemas. Fazer cortes, diminuir salários, para poder ganhar de outra forma é muitas vezes dolorido. Mas às vezes a mãe tem que se sacrificar pelos filhos. Nós precisamos entender o momento de crise que nós estamos vivendo. E não é por acaso que esta Casa votou 260 bilhões para pagar BPC, aposentados. Dizer que não tem crise é não entender o que está acontecendo hoje, não é fácil trazer soluções que nunca foram apresentadas. Dizer, por exemplo, que as empresas já pagam Imposto de Renda, seria dupla cobrança de lucros e dividendos, na realidade também é um discurso fácil, dizer que tem que cobrar os as dívidas, este País é o que mais cobra daqueles que estão devendo. Então, cabe a nós aqui hoje aprovar o remédio amargo, porque se fosse bom não precisava de reforma. Nós vamos consider r os professores, nós vamos considerar os trabalhadores rurais, nós vamos considerar o BPC. Nós estamos votando não o melhor projeto do mundo, mas o estamos fazendo com responsabilidade, em prol do nosso País. Por isso, o Partido Liberal tem discutido profundamente essa reforma e, com muita responsabilidade, vamos votar a favor. Vamos votar para que as nossas gerações, vamos votar com altruísmo para que as futuras gerações recebam aqueles que já estão aposentados, aqueles que têm expectativa de se aposentar, porque não existe direito, existe uma expectativa de direito. E expectativa de direito não é direito. Nós vamos reformar a Previdência para o Brasil voltar a crescer e gerar emprego que tanta gente precisa. Obrigado.",10/07/2019,191
ALICE PORTUGAL,PCdoB,BA,"Questão de ordem, Presidente.",10/07/2019,191
Rodrigo Maia,DEM,RJ,Pela Liderança do Podemos...,10/07/2019,191
ALICE PORTUGAL,PCdoB,BA,"Questão de ordem, Presidente, baseada no art. 77, § 4º do Regimento Interno: Art. 77 § 4º Ao público será franqueado o acesso às galerias circundantes para assistir às sessões, mantendo-se a incomunicabilidade da assistência com o recinto do Plenário. Sr. Presidente, acabamos de ter a notícia de que aqui no Anexo II gás de pimenta foi lançado contra manifestantes, trabalhadores que querem ter acesso garantido pelo Regimento da Casa. E nós não recebemos Š nenhum Deputado recebeu, pelo menos da minha bancada Š senhas de acesso às galerias ou a qualquer outro recinto, com possibilidade de assistência à sessão que é pública. Eu quero saber de V.Exa. qual a justificativa para a não abertura das galerias ou acomodação em locais da Câmara dos Deputados para a justa e legal assistência a esta sessão. Isso é um absurdo! Peço a V.Exa. que mande suspender a ação de repressão aos trabalhadores aqui no Anexo II da Câmara dos Deputados.",10/07/2019,191
Rodrigo Maia,DEM,RJ,"Deputada, como V.Exa. mesma colocou, são manifestantes tentando invadir a Casa pelo Anexo II.",10/07/2019,191
ALICE PORTUGAL,PCdoB,BA,Invadir?,10/07/2019,191
Rodrigo Maia,DEM,RJ,"Cabe à Câmara, respeitando cada cidadão, cumprir a determinação de não deixar a Casa ser invadida. (Palmas.) Uma coisa é entrar na Casa. V.Exa. tratou cada um como manifestantes. O Plenário...",10/07/2019,191
ALICE PORTUGAL,PCdoB,BA,"Nós temos um outro artigo, o 272...",10/07/2019,191
Rodrigo Maia,DEM,RJ,"Calma, Deputada. V.Exa. já fez a pergunta, se eu não estiver...",10/07/2019,191
ALICE PORTUGAL,PCdoB,BA,Vamos regular a entrada...,10/07/2019,191
AFONSO FLORENCE,PT,BA,"Presidente, nem todos são manifestantes...",10/07/2019,191
ALICE PORTUGAL,PCdoB,BA,Mas gás de pimenta?!,10/07/2019,191
Rodrigo Maia,DEM,RJ,"Eu estou lhe respondendo. A entrada está sendo... Deputados, eu estou respondendo a ela. Vamos lá, uma coisa de cada vez.",10/07/2019,191
ALICE PORTUGAL,PCdoB,BA,Eu agradeço.,10/07/2019,191
Rodrigo Maia,DEM,RJ,"E a galeria, agora autorizei 15 professores a entrar, e já tem o grupo que o Ministro Toffoli deu liminar. E nós vamos manter a ordem porque muitas vezes...",10/07/2019,191
ALICE PORTUGAL,PCdoB,BA,"Por liminar, Presidente? É uma vergonha.",10/07/2019,191
Rodrigo Maia,DEM,RJ,"Muitas vezes... Deputada, quando o PT presidia a Câmara agia de forma muito parecida...",10/07/2019,191
AFONSO FLORENCE,PT,BA,Não! não!,10/07/2019,191
Rodrigo Maia,DEM,RJ,"...para que o ambiente seja dos Deputados, não seja uma conflagração desses conflitos dentro deste plenário.",10/07/2019,191
AFONSO FLORENCE,PT,BA,"Presidente, permita-me uma sugestão de apoio: a de cadastrar o RG dessas pessoas e as entidades que dela participam. Que as Lideranças partidárias adotem algumas dessas sugestões e as submetam à apreciação da Mesa.",10/07/2019,191
Rodrigo Maia,DEM,RJ,"Sempre fizemos isso. Desta vez, ninguém me propôs.",10/07/2019,191
ALICE PORTUGAL,PCdoB,BA,Estamos propondo.,10/07/2019,191
AFONSO FLORENCE,PT,BA,Está feita proposta. Vamos encaminhá-la.,10/07/2019,191
Rodrigo Maia,DEM,RJ,Concedo a palavra ao Deputado José Nelto.,10/07/2019,191
JOSÉ NELTO,PODE,GO,"Sr. Presidente, Deputado Rodrigo Maia, eu quero registrar da tribuna desta Casa hoje à tarde uma conquista importante de todas as mulheres deste Parlamento na reforma da Previdência: a redução do tempo de contribuição de 20 anos para 15 ano , no Regime Geral de Previdência Social. Nós temos que destacar o trabalho das mulheres e o nosso apoio a esta reforma. Também destaco a redução da idade dos professores de 60 anos para 57 anos. Trata-se de uma conquista de todo o Parlamento, sobretudo das mulheres. Quanto a Estados e Municípios, os professores terão que se acertar com os Governadores e com os Prefeitos. Esse tema é de nossa competência, mas resolvemos retirar Estados e Municípios da reforma da Previdência para que cada Governador e cada Prefeito deste País tenha a mesma responsabilidade que nós, Deputados, aqui no Congresso Nacional, temos com o Brasil. Chegou a hora de cada político, de cada governante assumir a sua responsabilidade perante o País, perante o Estado e perante o Município. Há mais conquistas, como a garantia do salário mínimo para pensão por morte, quando se tratar da única fonte de renda auferida pelo conjunto de dependentes. Essa é mais uma conquista das mulheres brasileiras, graças às mulheres deste Parlamento, com o apoio dos demais Parlamentares. Ainda há outras conquistas de que iremos falar no decorrer dos debates desta reforma. Nós sabemos qual é o filme desta reforma. Quem não quer a reforma sobe a esta tribuna e usa o mesmo discurso de defesa dos pobres, de defesa dos negros, de defesa dos oprimidos, de defesa da democracia. Mas qual é a reforma que nós queremos? Na defesa dos mais pobres, nós queremos uma reforma que garanta trabalho. E só se garante trabalho se houver empresas com as portas abertas no nosso País. Não há emprego sem que haja empresário! Srs. Parlamentares, nós temos que parar com o discurso hipócrita, fácil, de tentar jogar com aquela velha política nós contra eles, e eles contra nós. Quem é que está contra o Brasil? Será contra o Brasil quem não votar nesta reforma. Nós temos que elogiar, sim, quem tem mérito, quem está pensando no País, para não deixá-lo se transformar em um país como Venezuela, Grécia ou Portugal. Esta reforma da Previdência está sendo construída a quatro mãos. Aqui temos também as mãos do Parlamento. Mas temos que elogiar o Presidente da República Jair Bolsonaro, que enviou a reforma da Previdência para esta Casa. Esperamos que depois da aprovação, ainda hoje, desta reforma da Previdência...(Desligamento automático do microfone.)",10/07/2019,191
Rodrigo Maia,DEM,RJ,A lista de presença registra o comparecimento de 273 Senhoras Deputadas e Senhores Deputados. Passa-se à apreciaç o da matéria sobre a mesa e da constante da Ordem do Dia.,10/07/2019,191
(DO PODER EXECUTIVO),NA,NA,"Continuação da votação, em primeiro turno, da Proposta de Emenda à Constituição n° 6-D, de 2019, que modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências tendo parecer da Comissão de Constituição e Justiça e de Cidadania, pela admissibilidade, ressalvada a inadmissibilidade quanto aos seguintes dispositivos: a) art. 1º, na parte em que modifica o § 2º do art. 109 da Constituição, concernente à extinção do foro do Distrito Federal para a propositura de ações contra a União b) art. 2º, na parte em que acrescenta o § 4º ao art. 10 do Ato das Disposições Constitucionais Transitórias, para dispor sobre o fim do pagamento da indenização compensatória e do depósito do fundo de garantia do tempo de serviço (FGTS), a partir da concessão da aposentaria c) a expressão de iniciativa do Poder Executivo federal, constante no art. 1º da PEC, na parte em que altera o art. 40, §1º art. 201, §§ 1º e 10 e 201-A, todos da Constituição Federal bem como no art. 3º, § 3º, e no art. 5º, § 1º, do Capítulo III da PEC e no art. 18, § 5º, do Capítulo V da PEC e a expressão de iniciativa do Poder Executivo constante no art. 1º da PEC, na parte em que altera o art. 42, § 2º, da Constituição Federal d) art. 1º, na parte em que altera o art. 40, § 2º, III, para retirar do texto constitucional a definição da idade para a aposentadoria compulsória do servidor público, transferindo a disciplina da matéria para Lei Complementar (Relator: Dep. Delegado Marcelo Freitas) e da Comissao Especial, pela admissibilidade das emendas e, no mérito, pela aprovação, com substitutivo, desta e das Emendas nºs 27, 34, 36, 50, 59, 79, 89, 93, 100, 103, 111, 118, 119, 135, 141, 159, 172, 181, 182, 184, 198, 225, 230, 243, 249, 255, 267 e 277 pela aprovação parcial das Emendas nºs 1, 3, 5, 18, 20, 25, 28, 29, 30, 31, 32, 37, 45, 46, 47, 51, 52, 58, 60, 64, 67, 68, 69, 70, 71, 73, 76, 77, 81, 82, 85, 86, 88, 90, 92, 96, 97, 102, 104, 106, 107, 112, 115, 116, 134, 136, 137, 140, 142, 146, 149, 150, 158, 162, 164, 171, 174, 175, 177, 178, 183, 187, 189, 190, 191, 192, 194, 195, 197, 199, 209, 216, 218, 219, 224, 228, 229, 231, 232, 233, 234, 238, 239, 250, 251, 253, 256, 257, 260, 261, 262 e 263, e pela rejeição das Emendas nºs 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24, 26, 33, 35, 38, 39, 40, 41, 42, 43, 44, 48, 49, 53, 54, 55, 56, 57, 61, 62, 63, 65, 66, 72, 74, 75, 78, 80, 83, 84, 87, 91, 94, 9 , 98, 99, 101, 105, 108, 109, 110, 113, 114, 117, 126, 127, 128, 129, 130, 131, 132, 133, 138, 139, 143, 144, 145, 147, 148, 151, 156, 157, 161, 163, 170, 173, 176, 180, 185, 186, 188, 193, 196, 208, 210, 211, 212, 214, 215, 217, 235, 236, 240, 241, 258, 264, 265, 268 e 270 Š Relator: Dep. Samuel Moreira, que apresentou Complementação de Voto e, em decorrência da apreciação de destaques, concluída em 5 de julho de 2019, Reformulação de Voto. Os Deputados Chico D'Angelo Henrique Fontana, Gleisi Hoffmann, José Guimarães, Pedro Uczai, Carlos Veras, Jorge Solla, Paulo Teixeira e Rubens Otoni e Ivan Valente, Luiza Erundina e Sâmia Bomfim, apresentaram votos em separad . Há requerimento sobre a mesa. Senhor Presidente: Requeiro, nos termos do parágrafo único, II, c, do Artigo 83 do Regimento Interno, a retirada da PEC nº 6/19 da pauta da presente sessão. Sala das Sessões, em Deputada Erika Kokay Tem a palavra o Deputado João Daniel.",10/07/2019,191
JOÃO DANIEL,PT,SE,"Sr. Presidente, Srs. Deputados, Sras. Deputadas, primeiramente eu queria registrar que dois grandes brasileiros nos deixaram hoje, mas deixaram sua história e sua marca: nosso grande companheiro Francisco Oliveira e Paulo Henrique Amorim. Nós estamos debatendo a proposta de reforma da Previdência mandada para cá pelo Governo Bolsonaro, que orientou seu Ministro poderoso, Paulo Guedes, a que enviasse para o Congresso Nacional o projeto da chamada nova Previdência. Este projeto vai tirar, como dito pelo Governo, 1 trilhão de reais dos trabalhadores e dos aposentados. Esse dinheiro vai para onde, nos próximos 10 anos, se há 1 ano e maio, nesta Casa, muitos dos que votarão hoje a favor desta proposta de reforma da Previdência, aprovaram a Emenda Constitucional nº 95, que proíbe que o Governo Federal aumente os investimentos nas áreas sociais, na área da educação, na área da saúde, além do valor aplicado no ano anterior, corrigido pela inflação? E repito: esse 1 trilhão de reais será tirado dos aposentados e dos trabalhadores. Toda maldade que este Governo está fazendo contra o povo só é possível porque o nosso País passa por um período de democracia frágil, de democracia golpeada, o que se iniciou com a retirada da Presidenta Dilma. De lá para cá, o mundo inteiro está conhecendo quem foram os verdadeiros golpistas, articulados e organizados por aquele que recebeu um presente do Governo Bolsonaro, o e -juiz Sergio Moro, que ajudou a orquestrar, junto com a grande mídia, esse grande golpe. Isso está dito na imprensa em todo o Brasil. Quando, desta tribuna, falamos da história dos 40 milhões de reais, houve todo um barulho, toda uma repercussão. Mas hoje é dito em todos os cantos destes País que é preciso pagar. O Governo vai usar dinheiro público para fazer uma reforma que é contra o povo. Ela aumenta a idade de aposentadoria para todas as categorias e diminui o valor das aposentadorias, para que o povo trabalhe mais e ganhe menos para que os grandes devedores da Previdência, bancos e empresas, continuem ganhando, sem pagar o que devem para que o agronegócio continue exportando e ganhando dinheiro sem pagar tributos. Para isso houve 84 bilhões de reais em isenções. A classe trabalhadora e as centrais sindicais podem não estar aqui, porque foram proibidas de entrar, mas estão no Brasil inteiro atentos e...(Desligamento automático do microfone.)",10/07/2019,191
Rodrigo Maia,DEM,RJ,Orientação de bancada. Como vota o Bloco do PP? (Pausa.) Como vota o PSL? (Pausa.) Como vota o PT? (Pausa.) Como vota o PL? (Pausa.) Como vota o PSD? (Pausa.) Como vota o DEM? (Pausa.) Como vota o PSDB? (Pausa.),10/07/2019,191
ALEXANDRE FROTA,PSL,SP,"O PSL vota não, Presidente.",10/07/2019,191
Rodrigo Maia,DEM,RJ,O PSL vota não. Como vota o PDT?,10/07/2019,191
CHICO D'ANGELO,PDT,RJ,"Sr. Presidente, o PDT vai obstruir. É muito importante o debate que está sendo feito aqui, porque esta é uma reforma que, objetivamente, prejudica a classe média e os trabalhadores do Brasil, com números concretos. É preciso honestidade neste debate, como disse o Deputado da base do Governo Bolsonaro. De cada 100 reais do sacrifício que se pede ao povo brasileiro, 83 reais vão sair do lombo de quem ganha até 2 mil reais. O trabalhador ou a trabalhadora que ganharia 2 mil reais se se aposentasse hoje, vai passar a ganhar, com esta reforma que está sendo proposta, 1.440 reais, caso a reforma seja aprovada. Então, é muito importante ter honestidade neste debate, porque o conjunto da população... (Desligamento automático do microfone.)",10/07/2019,191
AFONSO HAMM,Bloco/PP,RS,"Sr. Presidente, peço a palavra para orientar.",10/07/2019,191
Rodrigo Maia,DEM,RJ,Como vota o Bloco do PP?,10/07/2019,191
AFONSO HAMM,Bloco/PP,RS,"O PP, o MDB e o PTB orientam o voto contra este requerimento de retirada, porque precisamos dar brevidade a este processo e votar a reforma da Previdência, para destravarmos o desenvolvimento do País. Obrigado.",10/07/2019,191
Rodrigo Maia,DEM,RJ,Como vota o PSDB?,10/07/2019,191
CÉLIO SILVEIRA,PSDB,GO,"O PSDB vota não, Sr. Presidente, porque o PSDB quer destravar o desenvolvimento do País, quer acabar com o desemprego e quer dias melhores para toda a população. Por isso, o voto é não.",10/07/2019,191
Rodrigo Maia,DEM,RJ,Como vota o PT?,10/07/2019,191
MARCON,PT,RS,"O PT entende que esta PEC é um mal desnecessário. O Brasil não precisa desta reforma da Previdência. É preciso que o Governo Bolsonaro tenha política social para gerar emprego para os 13 milhões de desempregados que temos neste País. São pais e mães que não têm emprego, não têm salário, não têm dinheiro para comprar comida. Esta reforma da Previdência vai atingir quem ganha menos neste País. Oitenta e três por cento dos aposentados ganham um salário mínimo, e são esses que vão ser atingidos. Por isso, o PT não quer que esta PEC seja votada e entra em obstrução na votação deste ponto.",10/07/2019,191
Rodrigo Maia,DEM,RJ,Como vota o PL? (Pausa.) Como vota o PSD?,10/07/2019,191
DARCI DE MATOS,PSD,SC,"Sr. Presidente, o Brasil tem pressa. A população brasileira está aguardando ansiosamente a aprovação da nova Previdência. Portanto, pela votação o mais rápido possível, o PSD vota não, Sr. Presidente.",10/07/2019,191
Rodrigo Maia,DEM,RJ,Não. Como vota o Cidadania?,10/07/2019,191
DANIEL COELHO,CIDADANIA,PE,"Sr. Presidente, o Cidadania orienta não e faz aqui um apelo Š ontem, nós conseguimos 353 votos, na votação do último requerimento Š para que os Srs. Parlamentares e os Líderes engajados em aprovar esta reforma permaneçam no plenário. É possível hoje não só votarmos o texto principal, como também avançarmos nos destaques. O Brasil está ansioso pela aprovação desta reforma, uma conquista da Liderança de V.Exa., Deputado Rodrigo Maia, na Presidência desta Casa, e dos Líderes partidários. Esta é uma grande conquista para a Câmara do Deputados e para o Brasil. Então, vamos ficar no plenário e aprovar esta proposta com uma grande votação. Esta é uma vitória do povo brasileiro!",10/07/2019,191
Rodrigo Maia,DEM,RJ,Como vota o PRB?,10/07/2019,191
SILVIO COSTA FILHO,PRB,PE,"Presidente, o PRB encaminha o voto não, tendo em vista a necessidade de nós avançarmos na aprovação da reforma da Previdência. O PRB está unido na agenda das reformas para o Brasil. Eu não tenho dúvida de que, a partir da aprovação desta reforma, ao longo do dia de hoje, o Brasil iniciará um novo ciclo, um ciclo de desenvolvimento, de crescimento e, sobretudo, de geração de oportunidades para o povo brasileiro. Parabéns a V.Exa. pela forma como tem conduzido esse processo, respeitando sobretudo o Parlamento e defendendo os interesses do País! O PRB vota não.",10/07/2019,191
PR. MARCO FELICIANO,PODE,SP,"Peço a palavra pelo Podemos, Sr. Presidente.",10/07/2019,191
Rodrigo Maia,DEM,RJ,Como vota o Podemos?,10/07/2019,191
PR. MARCO FELICIANO,PODE,SP,"O Podemos, Sr. Presidente, vai encaminhar não ao requerimento de retirada de pauta, porque o Brasil tem pressa, o Brasil espera. E este Parlamento vai dar uma resposta ao nosso País. Precisamos votar, urgentemente, a reforma da Previdência. Por isso, encaminhamos não.",10/07/2019,191
Rodrigo Maia,DEM,RJ,Como vota o PL?(Pausa.),10/07/2019,191
LUIS MIRANDA,DEM,DF,"Sr. Presidente, o DEM orienta não. É com muita satisfação que eu observo a Esquerda constantemente falando que a reforma que deveríamos estar fazendo agora era a reforma tributária. Espero que nós vençamos esta semana a reforma da Previdência e que esse engajamento seja verdadeiro, de fato, na reforma tributária, que já tem Comissão Especial instalada, porque existe uma PEC sobre o tema em tramitação nesta Casa. Vai ser um prazer enorme unir todo o Parlamento em prol da reforma tributária. Nós queremos que, o mais rápido possível, a PEC 6/19 seja votada e aprovada, para que o Brasil tenha condição de fazer uma reforma tributária de verdade. Obrigado, Sr. Presidente.",10/07/2019,191
Rodrigo Maia,DEM,RJ,Como vota o PL? (Pausa.) Como vota o PSB? (Pausa.) Como vota o Solidariedade? (Pausa.) Como vota o NOVO? (Pausa.),10/07/2019,191
BOSCO SARAIVA,SOLIDARIEDADE,AM,"O Solidariedade vota não, Presidente.",10/07/2019,191
Rodrigo Maia,DEM,RJ,O Solidariedade vota não. Como vota o NOVO?,10/07/2019,191
GILSON MARQUES,NOVO,SC,"Presidente, eu tenho escutado vários discursos aqui sobre pobres e ricos, como se houvesse uma briga entre eles. A verdade inegável é que os recursos são escassos, e as necessidades são infinitas. Hoje, 52% do Orçamento federal é para a Previdência. Sobram só 22% para saúde, segurança e educação. Não vamos fazer reforma? Vai sair dinheiro da saúde, da segurança e da educação! E, paulatinamente, isso vai acontecer cada vez mais. Em 2026, serão 80% do orçamento. Em 15 anos, não vai haver nenhum real para saúde, segurança e educação. O que é preciso entender é que, se não houver reforma, não vai haver dinheiro para ninguém, seja pobre, seja rico, para saúde, segurança e educação. Nós precisamos votar esta matéria. O NOVO vota não à retirada de pauta e sim à nova Previdência.",10/07/2019,191
LÍDICE DA MATA,PSB,BA,Sr. Presidente...,10/07/2019,191
GIOVANI CHERINI,PL,RS,"O PL vota não, Presidente.",10/07/2019,191
Rodrigo Maia,DEM,RJ,O PL vota não.,10/07/2019,191
LÍDICE DA MATA,PSB,BA,"Peço a palavra pela PSB, Sr. Presidente.",10/07/2019,191
Rodrigo Maia,DEM,RJ,Como vota o PSOL?,10/07/2019,191
SÂMIA BOMFIM,PSOL,SP,"O PSOL encaminha o voto não, mas vai obstruir a votação da matéria. O Governo teve 6 meses para tentar convencer o Congresso e o povo brasileiro de que esta reforma combateria privilégios e seria boa para a economia, mas só conseguiu convencer parte dos Parlamentares, liberando 40 milhões de reais extras em emendas para acabar com a vida do povo trabalhador excluir metade dos homens da possibilidade de alcançar o tempo mínimo de contribuição acabar com a pensão de viúvas, possibilitando pensão de menos de um salário mínimo para ela sustentar a família, enquanto enxuga as lágrimas impor 8 anos a mais de trabalho para as professoras se aposentarem e com salário reduzido, porque também querem mudar a base de cálculo. Isso é uma vergonha! O PSOL segue na luta contra a reforma da Previdência. Nosso voto e nossa dignidade não estão à venda. A luta em favor do povo trabalhador vai prosseguir aqui no Congresso e nas ruas do Brasil!",10/07/2019,191
Rodrigo Maia,DEM,RJ,Como vota o PSB?,10/07/2019,191
LÍDICE DA MATA,PSB,BA,"Sr. Presidente, o PSB concorda com o requerimento de retirada de pauta. Não é possível nós votarmos de maneira açodada uma reforma da Previdência tão complexa, que fere tanto os interesses dos mais pobres do País. Nosso partido encaminha o voto sim.",10/07/2019,191
Rodrigo Maia,DEM,RJ,Como vota o PROS? (Pausa.) Como vota do PCdoB? (Pausa.),10/07/2019,191
TONINHO WANDSCHEER,PROS,PR,"Sr. Presidente, o PROS encaminha o voto não à retirada de pauta. Já está na hora de votarmos a reforma. O povo brasileiro está aguardando que este Congresso a aprove, para que o Brasil volte a cresce e a economia volte a ficar estável. O PROS vota não.",10/07/2019,191
Rodrigo Maia,DEM,RJ,Como vota o PCdoB?,10/07/2019,191
DANIEL ALMEIDA,PCdoB,BA,"Sr. Presidente, é verdade que o Brasil vive uma crise, mas esta reforma da Previdência é um remédio que mata o doente. Não é retirando um trilhão dos mais pobres que se vai resolver o problema, e ninguém pode negar que esse dinheiro vai sair dos mais pobres. Não é retirando recursos dos Municípios pequenos, que têm nas aposentadorias uma fonte fundamental para seu dinamismo econômico, para a geração de emprego e renda, que vamos melhorar a vida de milhões de brasileiros. Não é retirando o dinheiro da aposentadoria dos professores que vamos resolver a crise no País. Este debate precisa continuar. Nós somos a favor do requerimento de adiamento e encaminhamos obstrução.",10/07/2019,191
Rodrigo Maia,DEM,RJ,Como vota o PSC? (Pausa.) Como vota o Avante? (Pausa.) Como vota o Patriota? (Pausa.),10/07/2019,191
OTONI DE PAULA,PSC,RJ,"O PSC encaminha o voto não, Sr. Presidente.",10/07/2019,191
TITO,AVANTE,BA,"O Avante é contra o requerimento, Presidente. Encaminha o voto não.",10/07/2019,191
DR. FREDERICO,PATRIOTA,MG,"O Patriota vota não, Sr. Presidente.",10/07/2019,191
Rodrigo Maia,DEM,RJ,Como vota o PV?,10/07/2019,191
LEANDRE,PV,PR,"O PV orienta a votar não, Presidente.",10/07/2019,191
Rodrigo Maia,DEM,RJ,"Como vota a Minoria, a Oposição?",10/07/2019,191
ALICE PORTUGAL,PCdoB,BA,"Presidente, primeiro nós gostaríamos de reiterar o nosso protesto veemente contra a repressão que está sendo feita aos manifestantes no Anexo II. Ela não se justifica nem é necessária. Se há algum tipo de precaução a ser tomada, que se instituam as medidas necessárias. Sr. Presidente, nós entendemos que não se pode votar uma matéria como essa em sessão privada, semissecreta, distanciada inclusive da imprensa, que está a quase 100 metros, no Salão Verde, também obstruído. Isso está criando um constrangimento para milhões de brasileiros que querem acompanhar seus representantes nessa votação, que ela mexe com sua vida presente e futura. A Minoria vota obstrução.",10/07/2019,191
ALCEU MOREIRA,Bloco/MDB,RS,"Peço para orientar pela Maioria, Presidente.",10/07/2019,191
Rodrigo Maia,DEM,RJ,Como vota a Maioria?,10/07/2019,191
