autor,partido,uf,discurso,data
MARCELO RAMOS,PL,AM,Todos os gabinetes receberam  e-mails  e ligações. Tem a palavra o Deputado Paulo Ramos. (Intervenção fora do microfone.),12/07/2019
MARCELO RAMOS,PL,AM,"Primeiro, o Deputado Paulo Ramos.",12/07/2019
PAULO RAMOS,PDT,RJ,"Sr. Presidente, V.Exa. respondeu a última questão de ordem com base...",12/07/2019
MARCELO RAMOS,PL,AM,Qual é o artigo da questão de ordem de V.Exa.?,12/07/2019
PAULO RAMOS,PDT,RJ,"Art. 47. V.Exa. decidiu a última questão de ordem com base em deliberação, segundo V.Exa. mesmo anunciou, de 2005. Reunião de: 12/07/2019 Eu trago aqui uma questão de ordem resolvida em 2009, a Questão de Ordem nº 4.927, e a Questão de Ordem nº 186, de 2012. O autor da primeira, de 2009, foi o Deputado Onyx Lorenzoni. E ele levanta a questão de ordem para solicitar que a Presidência confirme seu entendimento sobre o art. 47 do Regimento Interno, segundo o qual os Presidentes de Comissões devem convocar as reuniões e distribuir os avulsos das matérias da pauta com antecedência mínima de 24 horas. Veio a resposta Š e presidia esta Casa o ex-Presidente Michel Temer:  (...). Acolhe a questão de ordem do Deputado Onyx Lorenzoni e informa que recomendará aos Presidentes de Comissão que cumpram a parte final do art. 47 do Regimento Interno, de distribuição dos avulsos com antecedência de 24 horas, acrescentando que essa disposição deverá valer também para a convocação. E vem a de 2012, de que é autor um Deputado que presidiu esta Casa, o Deputado Eduardo Cunha: (...) Presidente: Marco Maia (PT/RS) (...). Levanta questão de ordem para solicitar que sejam consolidadas as decisões contidas nas Questões de Ordem nºs 379, de 2004, e 492, de 2009, sobre os prazos regimentais de publicação e distribuição dos avulsos para inclusão de matéria na ordem do dia das Comissões (...). Indaga se é suficiente a comunicação por meio eletrônico. Vem a decisão: (...). Responde à questão de ordem esclarecendo que, em se tratando de votação de projetos, a convocação deve...",12/07/2019
MARCELO RAMOS,PL,AM,"Questão de Ordem nº 92, de 2003:  Para apreciação do parecer do Relator não há exigência de distribuição deste com 24 horas de antecedência . Indefiro a questão de ordem de V.Exa.",12/07/2019
ALICE PORTUGAL,B,BA,"Questão de ordem, Presidente.",12/07/2019
MARCELO RAMOS,PL,AM,"Para uma questão de ordem, tem a palavra a Deputada Alice Portugal.",12/07/2019
PAULO RAMOS,PDT,RJ,V.Exa. está falando...,12/07/2019
MARCELO RAMOS,PL,AM,"Questão de ordem, Deputada Alice. (Intervenção fora do microfone.)",12/07/2019
MARCELO RAMOS,PL,AM,"Questão de ordem, Deputada Alice. (Intervenção fora do microfone.)",12/07/2019
MARCELO RAMOS,PL,AM,Respondi. V.Exa. pode recorrer. V.Exa. pode recorrer para a Mesa. Tem a palavra a Deputada Alice. (Intervenção fora do microfone.),12/07/2019
MARCELO RAMOS,PL,AM,Tem a palavra a Deputada Alice. (Intervenção fora do microfone.),12/07/2019
DARCI DE MATOS,PSD,SC,"O Presidente tem razão! Vamos tocar a sessão, Sr. Presidente!",12/07/2019
PAULO RAMOS,PDT,RJ,Tem que saber ler!,12/07/2019
MARCELO RAMOS,PL,AM,Tem a palavra a Deputada Alice.,12/07/2019
ALICE PORTUGAL,B,BA,"Sr. Presidente, em primeiro lugar...",12/07/2019
DARCI DE MATOS,PSD,SC,"No grito, não, Sr. Presidente! No grito, não!",12/07/2019
PAULO RAMOS,PDT,RJ,"Não, mas no grito também... (O microfone é desligado.) Reunião de: 12/07/2019",12/07/2019
MARCELO RAMOS,PL,AM,"Eu acho que nós já temos uma convivência suficiente aqui, e a última sessão inclusive foi para isso, para saber que nós temos procurado estabelecer uma relação de respeito e procurado atender o que determina o Regimento Interno. Das decisões da Presidência da Casa Š e não necessariamente as minhas decisões vão ser corretas Š, da decisão da Presidência da Comissão não cabe recurso para a própria Comissão. O recurso regimental é para o Presidente da Casa. Portanto, pode ser feito o recurso para o Presidente da Casa, e obviamente as minhas decisões ficam passíveis de revisão da Presidência da Casa. Além do mais, vou repetir o que disse desde a primeira sessão aqui: o Regimento que permite obstrução é o mesmo Regimento que exige de mim que o projeto chegue ao momento da votação. E ele chegará ao momento da votação no dia de hoje. Tem a palavra a Deputada Alice.",12/07/2019
ALICE PORTUGAL,B,BA,"Agradeço, Sr. Presidente. Gostaria de dizer que nós temos completa consciência do rito...",12/07/2019
PEDRO PAULO,DEM,RJ,"É questão de ordem, Presidente?",12/07/2019
ALICE PORTUGAL,B,BA,"Vou fazer a questão de ordem, senhores.",12/07/2019
PEDRO PAULO,DEM,RJ,Qual o artigo?,12/07/2019
ALICE PORTUGAL,B,BA,"Aliás, eu tenho sempre fundamentado o que faço. É o Título III,  Das Sessões da Câmara , art. 67. Peço atenção, por gentileza. Eu peço atenção para V.Exa. poder responder com base no que eu disser.",12/07/2019
MARCELO RAMOS,PL,AM,"Agora, se for recurso, não cabe recurso da minha decisão. A minha decisão anterior está tomada.",12/07/2019
ALICE PORTUGAL,B,BA,"Não, Sr. Presidente, não é. Vou ler o art. 67 e vou fazer a minha questão de ordem, fundamentada também no art. 24, § 1º. Então, o art. 67 diz o seguinte: Art. 67. A sessão extraordinária, com duração de quatro horas, será destinada exclusivamente à discussão e votação das matérias constantes da Ordem do Dia. Sr. Presidente, o art. 67 a que a assessoria neste momento induz se refere, está ligado, está submetido ao Título III, da Ordem do Dia Š  Das Sessões da Câmara . Sessão, reunião de Comissão não tem hora definida, tanto que aqui está dizendo que a duração é de 4 horas. Induziram V.Exa. ao erro. E aí eu passo para o artigo da minha questão de ordem, que é o art. 24 do Regimento Interno, § 1º. Por que estou falando alto? Para ser ouvida. Diz o art. 24 do Regimento Interno, no § 1º: Art. 24. ........................................................................................................... § 1º Aplicam-se à tramitação dos projetos de lei submetidos à deliberação conclusiva das Comissões, no que couber, as disposições previstas para as matérias submetidas à apreciação do Plenário da Câmara. Portanto, não cabe número de sessões. A minha questão de ordem procede. É preciso publicar o artigo que foi lido por V.Exa. V.Exa. foi induzido ao erro, porque ele trata de sessões da Câmara, do Plenário da Câmara, porque reuniões não têm prazo definido, Sr. Presidente. Portanto minha questão de ordem procede, com base no art. 24, § 1º, subsidiada pelo art. 67, que trata, no Título III, de sessão plenária da Câmara.",12/07/2019
REINHOLD STEPHANES JUNIOR,PSD,PR,"S.Exa. está fazendo recurso, Presidente.",12/07/2019
ALICE PORTUGAL,B,BA,"Por que estou fazendo isso? Presidente, permita-me, com todo o respeito que tenho a V.Exa. Nós sabemos o destino, mas o destino tem que percorrer o caminho reto do Regimento e não o sinuoso da vontade. Lá, V.Exa. pôde defender uma posição; aqui, V.Exa. é magistrado. Para seguir o caminho reto do Regimento, eu lhe digo, com a consciência do que tenho feito nesses cinco mandatos, que a minha questão de ordem procede, para não incorrermos em erro. Muito obrigada. Reunião de: 12/07/2019",12/07/2019
REINHOLD STEPHANES JUNIOR,PSD,PR,Eu acho que não cabe recurso.,12/07/2019
MARCELO RAMOS,PL,AM,Indefiro a questão de ordem. A questão de ordem é um recurso da decisão anterior e a questão de ordem não serve para recurso de decisões anteriores. O recurso da minha decisão pode ser feito à Presidência da Casa.,12/07/2019
ALICE PORTUGAL,B,BA,Eu recorro à Presidência da Casa...,12/07/2019
MARCELO RAMOS,PL,AM,"É um direito regimental de V.Exa. Expediente. Informo que a seguinte sinopse do expediente recebido se encontra disponível para V.Exas. na mesa de apoio: Comunicado da Deputada Sâmia Bomfim, no qual solicita justificativa de ausência à reunião do dia 3 de julho de 2019. Comunicado do Deputado Acácio Favacho, no qual solicita justificativa de ausência à reunião do dia 4 de julho de 2019. Aproveito para solicitar que suas assessorias... É desnecessário esse aviso. Antes de passar à Ordem do Dia, eu vou me manifestar sobre dois requerimentos que chegaram à mesa... (Intervenção fora do microfone.)",12/07/2019
MARCELO RAMOS,PL,AM,"Não há ata, ela foi aprovada, previamente, na última reunião. Requerimentos procedimentais. De acordo com a Questão de Ordem nº 60, de 2017, cabe ao Presidente da Comissão velar pela observância do prazo da matéria. Nos termos do art. 196 do Regimento Interno, a Comissão Especial tem o prazo de apenas uma sessão para redigir a redação do vencido nas propostas de emenda à Constituição. Ainda com base nessa questão de ordem, restou ao assentado não ser cabível a apresentação de requerimentos de adiamento por prazos iguais ou maiores do que o prazo para pronunciamento da Comissão. Aplicando-se ao caso concreto à Comissão, tendo o prazo de uma sessão, não poderia requerer qualquer adiamento. Na mesma linha, o requerimento de retirada de pauta possui efeito similar ao requerimento de adiamento, pretendendo adiar a apreciação da redação do vencido pela Comissão. É o que se depreende da questão de ordem dos precedentes da Casa. Isto posto, devolvo aos autores os requerimentos que pretendem adiar a discussão ou a votação da matéria e os requerimentos de retirada de pauta. (Intervenção fora do microfone.)",12/07/2019
MARCELO RAMOS,PL,AM,"Já vou ouvir a questão de ordem de V.Exa. Há também um requerimento da lavra do Deputado Ivan Valente, da Deputada Sâmia Bomfim e Deputada Luiza Erundina, que requer a prorrogação do prazo. A decisão de prorrogação do prazo não é uma decisão da Comissão. É uma decisão do Plenário da Casa. Ademais, como requerimento extrapauta, ele precisaria estar subscrito por um terço. Portanto, indefiro o requerimento e o devolvo. Ouço a questão de ordem da Deputada Alice Portugal.",12/07/2019
ALICE PORTUGAL,B,BA,"A questão de ordem é lastreada no art. 196. A redação do vencido, em caso de PEC... V.Exa. sabe que esse artigo trata de PEC e de tramitação de projetos. O artigo diz:  (...) cinco sessões para os em regime de prioridade, e uma sessão, prorrogável por outra (...) . Sr. Presidente, o art. 196 é claro. O meu requerimento pede adiamento apenas por uma sessão. Em caso de PEC, o art. 196 nos garante, até porque não houve publicação da ata... A ata foi aprovada, sim, na sessão anterior, mas não houve publicação. Não houve publicação da ata. Nós estamos aguardando a redação do vencido. O art. 196 nos dá condição regimental de prorrogar por mais outra sessão. Eu peço a prorrogação. Está em requerimento. Peço a V.Exa. que não prejudique o requerimento. É um direito da Comissão decidir. Essa decisão não é no Plenário, nem é monocrática. É uma decisão do Plenário da Comissão. Reunião de: 12/07/2019",12/07/2019
MARCELO RAMOS,PL,AM,"Eu vou ler apenas um aposto contido no art. 196:  (...) por deliberação do Plenário (...) . Essa decisão é do Plenário da Casa, e não do Plenário da Comissão. A questão de ordem de V.Exa. está indeferida. Passo à Ordem do Dia para apreciação da seguinte pauta: Discussão e votação da proposta de redação para o segundo turno. Esclareço que cabe à Comissão, nos termos do art. 197, redigir o vencido que foi deliberado pelo Plenário. Antes de conceder a palavra ao Relator, o Deputado Samuel Moreira... (Tumulto no plenário.)",12/07/2019
MARCELO RAMOS,PL,AM,"Antes de conceder a palavra ao Deputado Samuel Moreira, eu ouço a questão de ordem da Deputada Sâmia Bomfim. Deputada Sâmia Bomfim, V.Exa. tem a palavra.",12/07/2019
ALICE PORTUGAL,B,BA,"Peço que me inscreva, por favor.",12/07/2019
MARCELO RAMOS,PL,AM,Ainda não estamos na etapa das inscrições. Tem a palavra a Deputada Sâmia Bomfim.,12/07/2019
SÂMIA BOMFIM,PSOL,SP,"Sr. Presidente, primeiro eu queria agradecer a V.Exa. pela concessão da questão de ordem. Eu acredito que a matéria da reforma da Previdência gera ânimos bastante exaltados por parte dos membros desta Comissão. Nós ficamos por muitas e muitas horas e semanas discutindo, mas a relação, na medida do possível, foi bastante respeitosa.",12/07/2019
DELEGADO ÉDER MAURO,PSD,PA,"Qual é o artigo, Sr. Presidente?",12/07/2019
SÂMIA BOMFIM,PSOL,SP,"Não é possível que justo agora que o nosso papel é o de referendar o texto que foi votado na última semana, com muita intensidade no plenário, alguns colegas Deputados fiquem indignados com o direito regimental de todos nós da Oposição, como fizemos até aqui, de garantir as questões de ordem e o método de obstrução que, sabemos, não vamos deixar de fazer em nenhum aspecto. A minha questão de ordem é baseada no art. 196 do nosso Regimento, que diz: Art. 196. A redação do vencido ou a redação final será elaborada dentro de dez sessões para os projetos em tramitação ordinária, cinco sessões para os em regime de prioridade, e uma sessão, prorrogável por outra, excepcionalmente, por deliberação do Plenário (...). Aqui se diz explicitamente, de fato, que é por deliberação do Plenário. O meu pedido é para que a nossa Comissão Especial, tendo isso em vista, indique que o Plenário pode aprovar a prorrogação por mais uma sessão, de acordo com o que versa o nosso Regimento. Nós ficamos a semana inteira discutindo. Não faz nem meia hora que o Plenário afirmou e votou a redação final. A minha questão de ordem, portanto, é no sentido de que possamos retornar ao plenário, para que, lá no plenário, indiquemos a prorrogação por mais 1 semana, como consta no nosso Regimento. Acho que isso seria bastante interessante, tendo em vista que já foi publicizado inclusive que o segundo turno da votação da reforma da Previdência vai se dar somente no início do mês de agosto. Então, não há prejuízo de data, não há prejuízo de prazo, nem por parte do Governo, tampouco por parte da Oposição, que está cumprindo com o seu papel, que é o de ampliar o máximo possível o debate com a sociedade brasileira, que está muito preocupada e indignada com as atrocidades que foram aprovadas no plenário, como a de prejudicar as professoras, a de prejudicar órfãos e viúvas, a de prejudicar os homens brasileiros, que muito dificilmente conseguem atingir 15 anos de contribuição, assim como as mulheres brasileiras, a de prejudicar todos os trabalhadores, que vão ter o valor da sua aposentadoria rebaixado a partir da aprovação na Câmara dos Deputados. Nada mais justo do que prorrogarmos por mais algum tempo, para que inclusive o poder de diálogo da sociedade se intensifique com o conjunto da Câmara dos Deputados. Muito obrigada, Sr. Presidente, pela concessão da questão de ordem. Acho que essa é uma postura bastante interessante para levarmos adiante.",12/07/2019
MARCELO RAMOS,PL,AM,"Deputada Sâmia Bomfim, antes de ouvir o Deputado Evair, quero registrar que a postura de V.Exa., reiterada sempre, é tão firme como educada. Quero registrar isso.  (Palmas.) Reunião de: 12/07/2019 Mas, infelizmente, quero reiterar a V.Exa. que já decidi sobre essa questão, e da minha decisão o recurso que cabe é ao Plenário. Tem a palavra o Deputado Evair Vieira de Melo, para uma questão de ordem.",12/07/2019
EVAIR VIEIRA DE MELO,PP,ES,"Sr. Presidente, até agradeço à nobre colega que me antecedeu e faço a complementação do art. 196, que ela citou. Até para anteceder a intervenção de V.Exa., cito a Questão de Ordem nº 692, de 2002, e a Questão de Ordem nº 10.035, de 2000, que deixam muito claro que, se a matéria estiver em regime de urgência, a votação da redação final pode ser feita na mesma sessão em que foi votado o mérito da matéria. Portanto, que fique claro e explicitado que qualquer manobra aqui fica muito... Eu compreendo a angústia de alguns nobres Parlamentares de prorrogar, de adiar, mas o Regimento é claro e permite. Não há nenhuma ilegalidade, não há nenhuma inconstitucionalidade nesse fato. Portanto, eu queria pedir aos colegas bom senso e equilíbrio. Estivemos muitos dias na Comissão Especial, trabalhamos na madrugada. Existe o desgaste físico, sim. Temos essa compreensão. Mas o Regimento é muito claro. À luz da lei, à luz do Regimento, é permitido, sim, todo o trabalho que V.Exa. está liderando, Sr. Presidente, junto com o nosso Relator. Peço bom senso e equilíbrio, porque o Brasil precisa dessa nossa entrega. Nós vamos ter uma chance, naturalmente, no segundo turno, já convocado pelo nosso Presidente para o dia 6 de agosto. Não há nenhuma razoabilidade em ficarmos aqui postergando debates meramente, por entendimentos regimentais, usando lógicas sofistas para levar ao engano e adiar a sessão. Portanto, o Regimento é claro. V.Exa. está atuando à luz da lei, do Regimento, Sr. Presidente. Eu queria que fossem encerrados esses fatos, para que pudéssemos, então, ouvir o nosso Relator e dar encaminhamento aos trabalhos. Obrigado.",12/07/2019
MARCELO RAMOS,PL,AM,"Todas as decisões que nós procuramos tomar aqui são fundadas no Regimento. É claro, repito, que nem sempre vou acertar. E das decisões em que eu errar cabe recurso ao Plenário. Ouço o Deputado Henrique Fontana.",12/07/2019
HENRIQUE FONTANA,PT,RS,"Sr. Presidente, primeiro, quero colocar para os colegas que eu compreendo todos os apelos. Ouvi o meu colega e amigo Deputado Evair, que respeito muito. Eu também tenho vontade de fazer e poderia dirigir um apelo ao bom senso:  Nós estamos trabalhando há 4 dias. Não há porque, se a votação será nos primeiros dias de agosto. Vamos fazer no dia anterior à votação do plenário . Mas não vai ser esse tipo de apelo que vai resolver o nosso embate democrático. Agora eu vou à minha questão de ordem, com todo o respeito ao que o Deputado Evair colocou. O art. 57, Sr. Presidente, define o seguinte:  No desenvolvimento dos seus trabalhos, as Comissões observarão as seguintes normas: (...) . E o seu inciso VI exige a leitura do parecer. É esta leitura que eu quero solicitar, a completa leitura do parecer. É evidente que aguardo a leitura do parecer para depois das manifestações dos Líderes, se outros Líderes quiserem usar a palavra para o debate mais político, de opiniões, de comemorações, de críticas. Eu evidentemente aguardaria. Só faço a questão de ordem a tempo, para que fique claro que nós vamos pedir a leitura completa do parecer. Também peço desculpas ao Relator por cansá-lo. Por exemplo, eu proponho o acordo e abriria mão da leitura integral do parecer, se fosse na primeira semana de agosto, mas hoje nós vamos solicitar a leitura integral do parecer, para que não paire nenhuma dúvida sobre o que terminou sendo aprovado no plenário, sobre o que vamos fazer a redação final aqui.",12/07/2019
MARCELO RAMOS,PL,AM,"Deputado Henrique, deixe-me fazer uma ponderação e uma sugestão a V.Exa. A leitura do parecer é regimental, porque o parecer não foi publicado antecipadamente. Eu queria fazer uma sugestão a V.Exa. Quando nós fizemos aqui a programação das atividades, nós programamos que a leitura do parecer demoraria por volta de 60 minutos, de 1 hora. O que eu queria sugerir, se V.Exa. concordar? Que nós substituíssemos a leitura do parecer por... Já há requerimento de encerramento da discussão. Então, com 5 e 5 nós encerraríamos a discussão. O que eu sugeriria a V.Exa.? Se não houver concordância, nós faremos a leitura de todo o parecer. Que nós ouvíssemos mais quatro falas, o que daria exatamente 1 hora, tempo equivalente ao da leitura do parecer. Em vez da leitura do parecer, haveria o espaço democrático de fala, de contestação da proposta. (Intervenção fora do microfone.) Reunião de: 12/07/2019",12/07/2019
MARCELO RAMOS,PL,AM,"São 15 minutos, Deputada Jandira. Quinze vezes quatro dá exatamente 1 hora.",12/07/2019
HENRIQUE FONTANA,PT,RS,"Sr. Presidente, eu acho a sua ponderação muito adequada. Eu sei que às vezes alguns colegas dizem:  Não, eu estou cansado de ouvir os argumentos....  Às vezes ouço essa frase. Compreendo que uma parte da sociedade brasileira de fato ainda não compreendeu tudo o que está sendo votado aqui. Então, acho a sua proposta muito boa. Eu a acolho. Só faço, Sr. Presidente, uma sugestão complementar, que não é uma contestação. Nós poderíamos diminuir o tempo, de 15 minutos para 10 minutos, para que todos falem, os que estão aqui presentes e desejam falar. Evidentemente, eu sei que talvez a base do Governo não queira falar. Isso é natural do processo. Eu já fui da base do Governo, hoje sou da Oposição. Proponho 10 minutos para cada fala e que todos que queiram falar... Eu ouvi uma proposta do colega que já posso adiantar, Sr. Presidente: que essa... (Intervenções fora do microfone.)",12/07/2019
MARCELO RAMOS,PL,AM,"Eu já vou ouvir V.Exa., Deputado Lafayette. Deixem-me fazer uma sugestão. Primeiro, quero dizer que acho esse debate muito importante para a vida do País. Eu não estou cansado de ouvir ninguém. Eu me convenci de certas coisas no decorrer do debate. Isso é bom. Talvez tenha sido menos conflituoso com a sociedade porque foi mais transparente o conjunto de debates aqui. Agora, não posso fazer o que fiz aqui quando tinha o tempo de três, quatro, cinco sessões, quando todo mundo falou. O que poderíamos fazer? Nós estamos trabalhando com 60 minutos, com 1 hora. Como a Oposição vai usar essa hora não é tema nosso. Se vai fazer 20 de...",12/07/2019
MARCEL VAN HATTEM,NOVO,RS,Mas não é dividido?,12/07/2019
MARCELO RAMOS,PL,AM,"Calma! Há o outro lado. Não há problema. Mas V.Exas. vão querer falar também por 1 hora, por 2 horas? (Intervenções fora do microfone.)",12/07/2019
MARCELO RAMOS,PL,AM,"Não? Então, espere. Deputado Marcel, para mim não há problema nenhum. Eu marquei o meu voo para amanhã de manhã. Eu ouço todos. Cada um fala por 15 minutos, até acabar. Para mim não há problema nenhum. Entenderam? Só acho que a fala não interessa para todo mundo. (Intervenções fora do microfone.)",12/07/2019
MARCELO RAMOS,PL,AM,"Então, o que eu queria sugerir? Nós temos duas alternativas aqui: podemos passar 60 minutos ouvindo o Deputado Samuel ler todo o texto da lei Š e isso é uma maldade Š, ou podemos usar os 60 minutos no debate. Vamos ouvir o Deputado Lafayette antes de tomar a decisão.  (Pausa.)",12/07/2019
LUIZA ERUNDINA,PSOL,SP,"Sr. Presidente, eu queria falar sobre o nosso requerimento.",12/07/2019
MARCELO RAMOS,PL,AM,Tem a palavra o Deputado Lafayette de Andrada.  (Pausa.) (Manifestação no plenário: Samuel! Samuel! Samuel!),12/07/2019
LAFAYETTE DE ANDRADA,PRB,MG,"Ouvir o Deputado Samuel é mais agradável, Sr. Presidente.",12/07/2019
LAFAYETTE DE ANDRADA,PRB,MG,A minha ponderação era nessa linha... (Intervenções fora do microfone.),12/07/2019
MARCELO RAMOS,PL,AM,Talvez ainda exista alguém para ser convencido aqui.  (Riso.)  Por isso todos querem falar. Tem a palavra o Deputado Lafayette.,12/07/2019
LAFAYETTE DE ANDRADA,PRB,MG,"A minha ponderação era no sentido do que o Presidente encaminhou. Essa hora em que o Relator falaria seria substituída por falas, mas eu ia sugerir, porque isso é um acordo, que fossem falas de 5 minutos. Como vai ser gasta 1 hora mesmo, os governistas falam e os oposicionistas falam. Estaríamos ganhando, Reunião de: 12/07/2019 dentro desse limite de 1 hora, com falas de 5 minutos. O NOVO quer falar, eventualmente o PSL quer falar, mas seriam falas de 5 minutos dentro dessa hora.",12/07/2019
MARCELO RAMOS,PL,AM,"Vamos entender as coisas: existe um tempo de discussão e um tempo de leitura do relatório. Não vamos misturar as coisas. O que está sendo proposto aqui não é só o uso de 1 hora de debate, mas também o tempo de discussão, que vai durar mais ou menos 1 hora e 15 minutos, mais 1 hora de debate. Então, teríamos 2 horas de debate, se houver acordo. (Intervenções fora do microfone.)",12/07/2019
MARCELO RAMOS,PL,AM,"Deixem-me explicar uma coisa: se não houver esse acordo, vamos para o Regimento, e eu garanto que vai demorar mais de 2 horas.",12/07/2019
HENRIQUE FONTANA,PT,RS,"Sr. Presidente, quero tentar esclarecer a proposta e compreender bem. Acho que V.Exa. colocou bem: são dois tempos. A informação que eu tenho da nossa Assessoria, que deve ser checada com a Assessoria da Mesa, é de que, regimentalmente, no mínimo, teremos dez inscrições, que variam de 10 minutos a 15 minutos. Quem é membro titular tem 15 minutos...",12/07/2019
MARCELO RAMOS,PL,AM,"Eu estou contando cinco, porque são cinco de cada lado. Imagino que quem concorda com a proposta pode optar por não falar.",12/07/2019
HENRIQUE FONTANA,PT,RS,"Era aí que eu queria chegar. Essas dez primeiras inscrições, que são de 10 minutos ou 15 minutos, conforme o caso, estão garantidas. A sua sugestão, que nós acolhemos, é de mais 1 hora, para substituirmos a leitura do relatório. Outra coisa, Sr. Presidente: somos totalmente a favor de que esse tempo seja distribuído meio a meio. Nós queremos fazer um debate democrático. Queremos mais contraditório na sociedade, para que ninguém se sinta dono da verdade. A arrogância é algo muito ruim num debate como este. Eu lembro que, quando o relatório chegou aqui, havia a arrogância de que seria tudo aquilo, ou nada resolvia, e muitas coisas o debate mudou. Então, tenho esperança de mudar a redação final.",12/07/2019
MARCELO RAMOS,PL,AM,Tem a palavra o Deputado Marcel Van Hattem.,12/07/2019
