autor,partido,uf,discurso,data,id_sessao
CARLOS ZARATTINI,PT,SP,"Presidente, o senhor está colocando uma situação, mas esse artigo permite cancelar benefícios concedidos não só nesse caso, mas em todos os casos onde os autônomos, pessoas microempreendedoras individuais, fizeram as suas contribuições.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,"Não tem nada disso, não tem nada disso.",09/07/2019,188
CARLOS ZARATTINI,PT,SP,"Nós queremos recorrer para que V.Exa. consulte o Plenário, para verificar se há um terço sobre essa sua decisão.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,Ele tem apoio do Plenário? O Deputado recorre ao Plenário. S.Exa. tem apoio da maioria?  (Pausa.) Está indeferido.,09/07/2019,188
TADEU ALENCAR,PSB,PE,"Sr. Presidente, eu quero apenas que o senhor motive a sua decisão. Não é possível isso. V.Exa. não pode indeferir uma questão de ordem sem dizer por que, Sr. Presidente.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,Como vota o PSDB?  (Pausa.) (Tumulto no plenário.),09/07/2019,188
CARLOS ZARATTINI,PT,SP,"É necessário contar, Sr. Presidente. Nós temos um terço, Sr. Presidente. V.Exa. precisa contar.",09/07/2019,188
ALICE PORTUGAL,B,BA,"Sr. Presidente, questão de ordem.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,Como vota o PCdoB?  (Pausa.),09/07/2019,188
ALICE PORTUGAL,B,BA,"Questão de ordem, art. 192, com a sua tolerância. Acho que temos que ter um mínimo de calma. Eu vou ler, Presidente, só um minuto. Por gentileza, eu peço que V.Exa. escute por 1 minuto. No dia 17 de abril de 2017, eu, dirigindo-me a V.Exa., disse o seguinte:  Sr. Presidente, o senhor, com a mesma alegação que no encaminhamento, poderia encerrar e não permitir a retirada de um requerimento. No art. 192, anunciada uma votação...",09/07/2019,188
RODRIGO MAIA,DEM,RJ,"Eu já decidi isso, Deputada.",09/07/2019,188
ALICE PORTUGAL,B,BA,"A votação não foi anunciada, Presidente. Estávamos em um processo de orientação. Aí V.Exa. disse:  Peço à assessoria da Mesa  Š que decidiu a meu favor, com vossa anuência Š... (Desligamento automático do microfone.)",09/07/2019,188
ALICE PORTUGAL,B,BA,"... que reflita,   porque então vamos ter que retirar o requerimento durante o encaminhamento todas as vezes . E o requerimento foi retirado por V.Exa. Eu peço, Presidente, que V.Exa. retire o meu requerimento...",09/07/2019,188
RODRIGO MAIA,DEM,RJ,"Orientação do PDT. Deputada, já está superado esse assunto.",09/07/2019,188
ALICE PORTUGAL,B,BA,"...pela segunda vez, Presidente, porque V.Exa...",09/07/2019,188
ANDRÉ FIGUEIREDO,PDT,CE,"Peço para incorporar o tempo de Líder, Presidente.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,Tempo de Líder para o PDT.,09/07/2019,188
ALICE PORTUGAL,B,BA,...já decidiu em 2017 a mesma questão de ordem. (O microfone é desligado.),09/07/2019,188
RODRIGO MAIA,DEM,RJ,"O PDT, pela Liderança, tem preferência. Deputado André Figueiredo tem a palavra pela Liderança do PDT.",09/07/2019,188
ANDRÉ FIGUEIREDO,PDT,CE,"Sr. Presidente, Sras. e Srs. Deputados, um tema tão importante como este que nós trazemos aqui a plenário evidentemente precisa ser discutido com mais serenidade. Nós mesmos do PDT hoje apresentamos uma proposta dentro do Colégio de Líderes na qual propúnhamos discutir durante duas sessões, inclusive com a possibilidade de não termos requerimentos de obstrução. Infelizmente não foi possível. E chegamos agora a este horário com os ânimos, é claro, extremamente acirrados. Confio na condução do Presidente Rodrigo Maia, é evidente, e confio na serenidade desta Casa. Agora, nós precisamos fazer um alerta, porque a grande maioria dos Parlamentares não sabe a gravidade do conteúdo desse relatório em relação aos que estão na base da pirâmide. Nós do PDT, mais uma vez digo, apresentamos uma emenda substitutiva global. Não nos furtamos a discutir uma reforma da Previdência, mas nunca essa que saiu, gestada pelo Governo Bolsonaro, e que aqui ou acolá teve uma melhoria no relatório do Deputado Samuel Moreira, evidentemente com muita luta da Oposição, em alguns momentos com apoio dos partidos de Centro. Queremos deixar muito claro que a capitalização foi retirada, é verdade. Só que existe uma pegadinha que é bom que seja dita. O fundo de previdência do servidor, o FUNPRESP, era gerido por uma entidade de previdência complementar fechada de natureza pública. E no relatório saiu a exclusividade de natureza fechada e também se colocou entidade de previdência complementar aberta e se tirou a natureza pública. Portanto, o sistema financeiro, que perdeu com a saída da capitalização, ganhou do outro lado. O que se tira dum canto, bota-se em outro. Enquanto isso, nós estamos vendo cada vez mais o achatamento da aposentadoria, e nós, colegas Deputados e Deputadas, no dia seguinte à promulgação de uma eventual emenda, de uma PEC como esta, teremos que prestar contas perante aquele amigo nosso que é pedreiro, aquela amiga nossa que é copeira, que, quando for se aposentar, vai ver o corte que teve na sua aposentadoria a que hoje tem direito. Temos aqui cálculos comprovando claramente que, por exemplo, um homem que hoje se aposenta com 2 mil reais vai se aposentar, com a reforma, com 1.620. Da noite para o dia ele perde 380 reais, ganhando 2 mil, hoje, nas regras de hoje. Se for professora, cai para 1.260. Se, por acaso, morrer o marido de uma dona de casa que ganhava 2 mil reais, muito provavelmente ela vai ganhar, no máximo, um salário mínimo, e se não tiver outra fonte de rendimento. É por isso, povo brasileiro, que nós temos que acordar. Quando se diz que são atacados privilégios, é mentira, porque 82% dessa conta vai ser paga pelo Regime Geral de Previdência Social. Nós sabemos bem, nós que somos nordestinos, como somos cobrados e seremos demandados dessa nossa posição no dia a dia. Professores e professoras estão mobilizados por causa dos direitos que estão tirando dessa categoria nesta PEC. É absolutamente inimaginável passar de 25 anos para 40 anos o tempo de contribuição das professoras. E aí vão dizer:  Não, com 25 anos, elas se aposentam.  Mas elas perdem, de uma lapada só, 30% e, mais, os 15% da diminuição do cálculo, que hoje se baseia nos 80% dos maiores salários e vai passar para a totalidade dos salários, ou seja, desde quando se começa no mercado de trabalho. É uma desumanidade nós votarmos esta PEC de forma açodada aqui no plenário. Nós queremos, evidentemente, contribuir com o bom debate, queremos contribuir para reduzir danos. Mas, antes, faremos de tudo para derrotar esta PEC, para que, assim como o Temer não conseguiu, esta Casa não dê os 308 votos necessários para aprovar esta PEC, para que possamos discutir uma proposta que não seja tão maléfica para quem mais precisa. Srs. Deputados, Sras. Deputadas, a história nos julgará, a história dirá quem é o algoz do Brasil. Certamente, tenho absoluta convicção, nós que votamos contra esta proposta não estaremos no banco dos réus, não estaremos, de forma alguma, sendo culpados por jogar na miséria milhões de trabalhadores brasileiros. Eu não estou falando de miseráveis, eu estou falando de trabalhadores que não conseguirão comprovar tempo de contribuição e, por isso, não conseguirão se aposentar. Meus queridos amigos, minhas queridas amigas, o PDT quer discutir mais esta matéria e conta com o apoio de todos. Por isso, votamos favoravelmente à retirada de pauta.  (Palmas.)",09/07/2019,188
RODRIGO MAIA,DEM,RJ,Como vota o PSD?,09/07/2019,188
MARCO BERTAIOLLI,PSD,SP,"O PSD encaminha não, Sr. Presidente.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,Como vota o DEM?,09/07/2019,188
LUIS MIRANDA,DEM,DF,"O DEM orienta não, Sr. Presidente.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,Como vota o PSB?,09/07/2019,188
TADEU ALENCAR,PSB,PE,"Sr. Presidente, eu quero juntar o tempo de orientação com o tempo de Líder, por favor.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,O PSB usará o tempo de Líder e de encaminhamento.,09/07/2019,188
