autor,partido,uf,discurso,data
BETO PEREIRA,PSDB,MS,"Sr. Presidente, o PSDB é autor do requerimento e orienta o voto sim, entendendo que, da mesma forma que existem instrumentos legais, regimentais para obstruir os trabalhos, existem também mecanismos regimentais, legais para acelerar, dar celeridade à votação da matéria que está em discussão.",04/07/2019
MARCELO RAMOS,PL,AM,O PSDB vota sim. Como vota o DEM?,04/07/2019
ARTHUR OLIVEIRA MAIA,DEM,BA,"Sr. Presidente, o DEM votará sim. Mas eu quero também aqui registrar...",04/07/2019
MARCELO RAMOS,PL,AM,"Só um pouquinho, Deputado. Para que nós possamos ouvir V.Exa., eu quero pedir silêncio, por favor. Vamos ouvir o Deputado Arthur Maia.",04/07/2019
ARTHUR OLIVEIRA MAIA,DEM,BA,"Sr. Presidente, o DEM vota sim. Mas eu também quero registrar aqui a minha perplexidade com a fala da Deputada que orientou pelo PT, porque, se o Brasil tem 13 milhões de desempregados, essa herança vem da era do PT; se o Brasil está com o PIB negativo, é importante que se diga que, nos 3 últimos anos do Governo Dilma, o Brasil perdeu 10% do seu PIB. E tudo isso, Presidente, sem falar no maior escândalo de corrupção da história da humanidade, promovido e protagonizado pelo PT. Reunião de: 04/07/2019 Portanto, esse discurso vazio e barato de que nós estamos vivendo uma realidade que é responsabilidade deste Governo não cola. Nós vamos sim aprovar a reforma porque é importante para o Brasil. O DEM está comprometido com esta luta. E o Brasil deseja esta reforma. O DEM orienta o voto sim, Presidente.",04/07/2019
MARCELO RAMOS,PL,AM,"Obrigado, Deputado Arthur. O DEM vota sim. Como vota o PDT?",04/07/2019
ANDRÉ FIGUEIREDO,PDT,CE,"Sr. Presidente, nós temos a absoluta convicção de que poderíamos aqui estar discutindo uma proposta de reforma da Previdência que não sacrificasse os mais humildes, que não sacrificasse a base da pirâmide, como já foi feito inclusive em Governos anteriores. O problema é que vimos discutindo até ontem de uma forma aberta, transparente e democrática, e fomos atropelados. Ontem levamos a votação até as 2 horas da manhã. Lamentavelmente, estamos vendo que hoje vai ocorrer o mesmo. O que é mais difícil para cada um de nós que estudamos o tema é ver que, infelizmente, a mentira está prevalecendo sobre a verdade. Dizer que a reforma vai gerar emprego... Eu queria que qualquer Deputado dissesse aqui como se vai gerar emprego a partir de uma reforma da Previdência. É uma falácia! Esta reforma vai gerar milhões de desesperados que não conseguirão se aposentar. Por isso, o PDT orienta o voto não. Mas, no caso aqui, vamos obstruir.",04/07/2019
MARCELO RAMOS,PL,AM,"PDT, obstrução. Como vota o Solidariedade?  (Pausa.) Solidariedade?  (Pausa.) Como vota o PTB?  (Pausa.) Como vota o Podemos?  (Pausa.) Como vota o PSOL? Tem a palavra a Deputada Luiza Erundina.",04/07/2019
LUIZA ERUNDINA,PSOL,SP,"O PSOL orienta contrariamente à inversão da pauta, por entender que esta aceleração que...",04/07/2019
MARCELO RAMOS,PL,AM,"Deputada Erundina, só um pouquinho. Por favor, eu quero mais uma vez fazer o apelo ao Plenário... Eu quero fazer mais uma vez o apelo ao Plenário... Deputado Perondi, só para nós... Deputado Perondi, eu só culpo V.Exa. porque fala mais alto, então...  (Risos.) (O Sr. Presidente faz soar as campainhas.)",04/07/2019
MARCELO RAMOS,PL,AM,"Deputada Luiza Erundina, V.Exa. tem a palavra. Eu peço que se devolva o tempo à Deputada.",04/07/2019
LUIZA ERUNDINA,PSOL,SP,"Sr. Presidente, o PSOL vota contrariamente à inversão de pauta por entender que a matéria não pode ser apreciada de forma precipitada, porque acelerar a votação desta PEC é acelerar uma decisão que vai repercutir sobre o povo brasileiro durante décadas, e de forma cruel, como tem sido observado, analisado e denunciado durante os debates nesta Comissão. Nós somos a favor do Brasil sim, porque nós somos a favor do povo brasileiro. E o povo brasileiro vem se manifestando contrariamente à aprovação desta PEC, porque ela representa perda de direitos, perda de conquistas inestimáveis do povo expressas na Constituição de 1988, que está... (Desligamento automático do microfone.)",04/07/2019
LUIZA ERUNDINA,PSOL,SP,"...que está sendo completamente destruída, desconstruída, Sr. Presidente. Portanto, nós votamos não. Mas, nesta oportunidade, vamos registrar obstrução.",04/07/2019
MARCELO RAMOS,PL,AM,"PSOL, obstrução. Reunião de: 04/07/2019",04/07/2019
CELSO MALDANER,MDB,SC,O MDB vota sim.,04/07/2019
MARCELO RAMOS,PL,AM,O MDB vota sim. Com vota o PROS?,04/07/2019
TONINHO WANDSCHEER,PROS,PR,"O PROS vota sim, Presidente, para que possamos votar rapidamente este texto.",04/07/2019
MARCELO RAMOS,PL,AM,O PROS vota sim. Como vota o PCdoB?,04/07/2019
PERPÉTUA ALMEIDA,B,AC,"Sr. Presidente, primeiro, bom dia a todos os colegas. Ficamos aqui até a madrugada. E o dia promete ser longo, porque nós não temos pressa em decidir uma reforma que retira direito dos trabalhadores. Querer aqui acelerar é deixar o povo desinformado; querer votar às pressas é não dar a oportunidade ao povo que está nos assistindo de entender o que está sendo votado aqui. Portanto, o PCdoB está em obstrução, porque nós ainda queremos tempo para não deixar votar esta reforma que prejudica os trabalhadores.",04/07/2019
MARCELO RAMOS,PL,AM,"PCdoB, obstrução. É isso, Deputada?  (Pausa.) PCdoB, obstrução. Como vota o PSC?  (Pausa.) Como vota o Cidadania?",04/07/2019
ALEX MANENTE,CIDADANIA,SP,"O Cidadania, Presidente, entende que ontem cumprimos uma missão importante, ficando até praticamente às 2 horas da manhã para fazer esta agenda importante para o País. Nós, obviamente, não ficamos satisfeitos em fazer qualquer reforma que possa dificultar o acesso à aposentadoria. Porém, sabemos que, se não a fizermos agora, dificilmente conseguiremos pagar as aposentadorias no futuro, e o Brasil não terá as garantias para ter investimentos e gerar o desenvolvimento de que nós precisamos. Eu acredito que aqui nós cumprimos uma missão importante. E fazer esta inversão é dar celeridade para que possamos entrar propriamente no debate do mérito da matéria e dos seus destaques, que serão muitos, para conseguirmos cumprir a missão ainda, se possível, esta semana. Por isso, o Cidadania orienta o voto sim.",04/07/2019
MARCELO RAMOS,PL,AM,O Cidadania vota sim. Como vota o NOVO?  (Pausa.),04/07/2019
MARCELO MORAES,PTB,RS,"Presidente, o PTB vota sim.",04/07/2019
MARCELO RAMOS,PL,AM,O PTB vota sim. Como vota o NOVO?,04/07/2019
PAULO GANIME,NOVO,RJ,"Presidente, o NOVO, obviamente, vota sim. Vamos aprovar esta reforma o quanto antes. Conte conosco para isso!",04/07/2019
MARCELO RAMOS,PL,AM,O NOVO vota sim. Como vota o Avante?,04/07/2019
LUIS TIBÉ,AVANTE,MG,"O Avante vota sim, Presidente.",04/07/2019
MARCELO RAMOS,PL,AM,O Avante vota sim. Como vota o Patriota?,04/07/2019
DR. FREDERICO,PATRIOTA,MG,"Sr. Presidente, nós temos a convicção de que esta é a proposta que vai gerar emprego, de que esta é a proposta que vai levar o País à frente. Imagine a Comunidade Europeia, com quem acabamos de fechar um acordo, vendo o Brasil, seus Parlamentares, com competência, conseguir gerar uma economia de 1 trilhão de reais, principalmente através do combate às desigualdades feitas pela Previdência Social. Não temos dúvida, o caminho é esse. Assim vamos voltar a crescer e a gerar emprego. O nosso voto é sim, Sr. Presidente. Reunião de: 04/07/2019",04/07/2019
MARCELO RAMOS,PL,AM,"Obrigado, Deputado Dr. Frederico. O Patriota vota sim. Como vota o PV, Deputado Professor Israel?",04/07/2019
PROFESSOR ISRAEL BATISTA,PV,DF,"Sr. Presidente, o Partido Verde vota contrariamente ao requerimento. Neste caso, obstrui. Nós não podemos ter pressa para votar esta reforma da Previdência. Esta reforma tem que ser feita de maneira muito equilibrada, bem pensada. Isto aqui não é uma fábrica de leis. Esta é uma Casa de reflexão. Nós não precisamos mudar o procedimento, nós não precisamos colocar os Deputados para apressar alguma discussão aqui, porque nós temos tempo. E alguns dias a mais não fariam diferença, Sr. Presidente. Isso não precisa ser feito para colocar alguma dúvida sobre a sua condição impecável neste processo todo, Sr. Presidente. Isso é um erro!",04/07/2019
ALICE PORTUGAL,B,BA,"Sr. Presidente, o PCdoB muda o voto para não.",04/07/2019
ANDRÉ FIGUEIREDO,PDT,CE,"O PDT muda para não, Presidente.",04/07/2019
MARCELO RAMOS,PL,AM,"PCdoB, não. PDT, não. Como vota o PMN?  (Pausa.) Como vota a REDE?  (Pausa.) Como vota a Maioria?  (Pausa.) Maioria?  (Pausa.)",04/07/2019
CARLOS VERAS,PT,PE,O PT muda para não.,04/07/2019
MARCELO RAMOS,PL,AM,O PT muda para não.,04/07/2019
JANDIRA FEGHALI,B,RJ,"Minoria, Sr. Presidente...",04/07/2019
PROFESSOR ISRAEL BATISTA,PV,DF,"O PV muda para não, Sr. Presidente.",04/07/2019
MARCELO RAMOS,PL,AM,"O PV muda para não. Como vota a Minoria, Deputada Jandira Feghali?  (Pausa.)",04/07/2019
LUIZA ERUNDINA,PSOL,SP,"O PSOL vota não, Sr. Presidente.",04/07/2019
JANDIRA FEGHALI,B,RJ,"Presidente, aqui a tentativa de acelerar só tem uma razão de ser: uma pressão brutal da banca. A banca do capital financeiro está muito interessada em que esta reforma seja aprovada rapidamente. Aliás, é o único privilégio mantido nesta reforma, daqueles que tiveram mais de 70 bilhões de reais de lucro do ano passado e que, só neste ano, tiveram recorde de lucro, relacionado inclusive ao mundo inteiro. O que nós queremos aqui é de fato ampliar o tempo de debate não só do texto que foi apresentado ontem à noite, mas também dos destaques que vamos debater, um a um, nesta Comissão. Por isso, nós estamos orientando o voto não a esta inversão, para que seja lida a ata, a Ordem do Dia, na sequência correta dos debates da Comissão.",04/07/2019
MARCELO RAMOS,PL,AM,A Minoria vota não. Como vota a Oposição?,04/07/2019
ALESSANDRO MOLON,PSB,RJ,"Presidente, a sabedoria popular ensina que a pressa é inimiga da perfeição. Como nós da Oposição queremos fazer o debate o mais profundo possível, o mais qualificado, sem procurar atropelar os trabalhos, como este requerimento propõe, nós vamos... (O Sr. Presidente faz soar as campainhas.)",04/07/2019
MARCELO RAMOS,PL,AM,"Só um pouquinho, Deputado Molon. Só um pouquinho. Eu só quero pedir... O Deputado Alessandro Molon está fazendo referência à Mesa. Eu acho que, por uma questão de respeito, preciso acompanhar a fala de S.Exa. Reunião de: 04/07/2019 (Intervenção fora do microfone.)",04/07/2019
MARCELO RAMOS,PL,AM,"Não, além de muito barulho, havia uma barreira aqui. (Intervenção fora do microfone.)",04/07/2019
MARCELO RAMOS,PL,AM,"Não, certamente do bem. Aqui só há gente do bem. Deputado Molon... (O Sr. Presidente faz soar as campainhas.)",04/07/2019
MARCELO RAMOS,PL,AM,"Peço silêncio, por favor. Faço mais um apelo, para que nós possamos ouvir os oradores. Deputado Alessandro Molon, V.Exa. tem a palavra.",04/07/2019
ALESSANDRO MOLON,PSB,RJ,"Sr. Presidente, como eu dizia, nós da Oposição não queremos o atropelo dos trabalhos. Esta é uma matéria que vai alterar, vai afetar a vida de todos os brasileiros. Por isso, quanto mais atento, qualificado, profundo, responsável e prudente for o debate, será melhor. Nós vamos tentar evitar o atropelo e a correria nas discussões para se aprovar um texto que boa parte da Comissão talvez ainda não conheça plenamente. Isto é sério, porque diz respeito a uma matéria, como eu já disse, que pode impedir, se aprovada nos termos atuais, milhões de brasileiros de se aposentarem. Daqui a pouco, vamos entrar no texto principal e nos destaques. Um ponto específico nos preocupa sobremaneira: o aumento de 15 anos para 20 anos no tempo mínimo de contribuição. A Oposição vota não. Sr. Presidente, para ficar claro, o voto é não.",04/07/2019
MARCELO RAMOS,PL,AM,A Oposição vota não. Como vota o Governo?,04/07/2019
DARCÍSIO PERONDI,MDB,RS,"Sr. Presidente, em primeiro lugar, cumprimento esta base reformista, firme, estudiosa, que trabalhou intensamente e hoje vai trabalhar o dia inteiro e, se for preciso, a noite, com confiança, energia, motivação e esperança, pensando nos desvalidos, nos pobres, nos desempregados, naqueles que não têm casa, não têm roupa, em quem tem frio, pensando naqueles que sofrem, vai trabalhar buscando os privilegiados. Esta base acredita num Brasil melhor, e este Brasil melhor vai vencer! O voto é sim, pela esperança em um Brasil melhor.  (Palmas.)",04/07/2019
MARCELO RAMOS,PL,AM,"Passamos agora à votação eletrônica. A Presidência solicita aos Srs. Deputados que tomem os seus lugares, a fim de ter início a votação pelo sistema eletrônico. Está iniciada a votação. (Procede-se à votação.)",04/07/2019
GLEISI HOFFMANN,PT,PR,"Sr. Presidente, peço a palavra para uma questão de ordem.",04/07/2019
MARCELO RAMOS,PL,AM,"Deputada Gleisi, estamos em processo de votação. Deixe acabarmos o processo de votação, e eu concedo a palavra a V.Exa. para a questão de ordem. Assim que acabar o processo de votação, eu concedo a palavra a V.Exa., Deputado Filipe. Algum Deputado ainda falta votar?  (Pausa.) Vou encerrar. V.Exa. não queria que se encerrasse, Deputado Carlos Veras? Foi feito um pedido aqui para se encerrar.  (Risos.) Está encerrada a votação. Vamos proceder à apuração dos votos. (Procede-se à apuração.)",04/07/2019
MARCELO RAMOS,PL,AM,"Resultado: sim, 29; não, 13. Reunião de: 04/07/2019 O requerimento está aprovado. Foi invertida a ordem dos trabalhos, para iniciarmos pela Ordem do Dia. Declaro prejudicado o requerimento de autoria do Deputado Alexandre Frota, que tinha o mesmo objetivo. Temos três pedidos de questão de ordem, dos seguintes Deputados: Gleisi Hoffmann, Jandira Feghali e Filipe Barros. Eu peço a S.Exas. que cumpram as determinações regimentais, indicando o artigo com base no qual buscam fundamentar a questão de ordem. Tem a palavra a Deputada Gleisi Hoffmann.",04/07/2019
GLEISI HOFFMANN,PT,PR,"Obrigada, Sr. Presidente. Com base no art. 74, inciso VII, eu quero contraditar o Deputado do Democratas que fez ofensas graves, sérias ao Partido dos Trabalhadores, que eu presido.",04/07/2019
MARCELO RAMOS,PL,AM,"Deputada Gleisi, o entendimento desta Casa, já reiterado, é que o direito de resposta se dá no caso de ofensas pessoais, e não de ofensas a partido. Neste sentido, indefiro a questão de ordem de V.Exa.",04/07/2019
GLEISI HOFFMANN,PT,PR,"Sr. Presidente, é pessoal. Eu sou Presidente do partido.",04/07/2019
MARCELO RAMOS,PL,AM,"Não, Deputada Gleisi.  (Manifestação no plenário.) Calma, Deputados! Ele não citou nenhum nome. Nós estamos vivendo isso o tempo inteiro. Ontem nós também tivemos uma série de falas em outro sentido. Portanto, eu indefiro a questão de ordem da Deputada Gleisi Hoffmann. Obviamente, cabe recurso regimental. Vamos à questão de ordem da Deputada Jandira Feghali.",04/07/2019
JANDIRA FEGHALI,B,RJ,"Sr. Presidente, minha questão de ordem se dá com base no art. 201, inciso II, e no art. 202, § 4º, que determinam que propostas de emendas constitucionais podem tramitar na Casa. O art. 201, inciso II, diz que não pode a Câmara apreciar propostas de emendas constitucionais que façam, entre outros temas, agressão aos direitos e às garantias individuais. O art. 202, § 4º, diz que o Relator ou a Comissão, em seu parecer, só poderá oferecer emenda ou substitutivo à proposta nas mesmas condições estabelecidas no inciso II do artigo precedente . O que eu quero dizer com isso? Esta proposta de emenda constitucional não poderia estar tramitando na Casa, muito menos estar em votação nesta Comissão. A questão de ordem, baseada nestes dois artigos, é que suspendamos a votação. Por quê? Porque o conteúdo dela fere frontalmente os direitos e as garantias individuais pautados em algumas questões do art. 5º da Constituição Federal, que prevê a condição da dignidade humana. Entre as questões da dignidade humana, consta que nenhum benefício será menor do que um salário mínimo. Consta, também, o princípio da solidariedade, o princípio da possibilidade real da qualidade de vida e da sobrevivência a partir dos itens que compõem o salário mínimo. Trata-se de garantias e direitos individuais. Portanto, esta proposta de emenda constitucional não poderia tramitar na Casa, muito menos estar em votação nesta Comissão. No relatório do Deputado Samuel Moreira, consta a pensão por morte constitucionalizada, podendo ser abaixo de um salário mínimo. Está nele uma matéria não previdenciária, a matéria trabalhista do abono salarial. Está escrito na Constituição, a partir deste relatório, que pode ser até um salário mínimo. Nossa Constituição também estabelece que o BPC, que nunca foi constitucional, nos termos de um quarto do salário mínimo  per capita , com o achatamento do salário mínimo, nós poderemos ter um BPC que, na frente, a partir do cheque em branco que se dá por lei, será um benefício abaixo da condição da dignidade humana. Portanto, Sr. Presidente, a questão de ordem visa suspender a votação desta matéria, por agredir o art. 5º da Constituição Federal, que trata dos direitos e das garantias individuais.",04/07/2019
MARCELO RAMOS,PL,AM,"Obrigado, Deputada Jandira. Conforme o art. 202,  caput , eu registro que o juízo de admissibilidade é feito pela Comissão de Constituição e Justiça, que já enfrentou esta questão da admissibilidade. Registro, ainda, que houve uma provocação ao Supremo Tribunal Federal na tentativa de trancar a tramitação desta matéria, por entender que havia ofensa a uma cláusula pétrea. Até agora, o Supremo Tribunal Federal não deferiu a liminar. Reunião de: 04/07/2019 Portanto, eu respeito, mas indefiro a questão de ordem de V.Exa. Passo à questão de ordem do Deputado Filipe Barros.",04/07/2019
JANDIRA FEGHALI,B,RJ,Recurso.,04/07/2019
MARCELO RAMOS,PL,AM,Claro! V.Exa. tem direito regimental a recurso. Tem a palavra o Deputado Filipe Barros.,04/07/2019
