autor|partido|uf|discurso
RODRIGO MAIA|DEM|RJ|Agora é a minha vez de falar. Senhor Presidente: Requeiro, nos termos do parágrafo único, II, "c", do Artigo 83 do Regimento Interno, a retirada da PEC 6/2019 da pauta da presente sessão. Sala das Sessões, em Dep. Alencar Santana Para falar a favor, tem a palavra o Deputado Alencar Santana.
HENRIQUE FONTANA|PT|RS|Presidente, eu só lhe faço um pedido antes da manifestação do Deputado Alencar. Eu ouvi com atenção e estou de acordo, mas tenho uma leitura diferente de V.Exa. sobre o resultado que teríamos na votação de ontem. Mas me parece razoável o que V.Exa. propõe, que é o tempo que demorar no primeiro...
RODRIGO MAIA|DEM|RJ|Não, eu posso propor. Vamos ver como é que as coisas caminham para fecharmos um entendimento sobre o procedimento da primeira e de todas as votações.
HENRIQUE FONTANA|PT|RS|Ontem, Presidente, a minha leitura foi a de que havia Deputados mudando o voto, sobretudo depois de bancadas ficarem liberadas. E nós ganharíamos em relação àquele destaque. Eu não tenho a mesma leitura que V.Exa. sobre a votação dos destaques.
RODRIGO MAIA|DEM|RJ|Não, não ganhariam. Graças a Deus, podemos divergir. Tem a palavra o Deputado Alencar.
ALENCAR SANTANA BRAGA|PT|SP|Sr. Presidente, colegas Deputados, Deputadas, ontem, quem votou a favor desta reforma cometeu nesta Casa uma das maiores crueldades contra o nosso povo, baseada em mentira, em mentiras. Nós temos que deixar isso bem claro, para que todo mundo saiba. Senhoras e senhores, a pessoa recebe a aposentadoria amanhã, mas tenho certeza de que ela lembrará do voto de ontem, porque o povo não é bobo. Ele já deu o recado a alguns que votaram a favor da reforma trabalhista e, com certeza, novamente o dará àqueles que fizeram essa crueldade. Alguns Deputados, defendendo a reforma, diziam:  "Não, fazer reforma da Previdência exige sacrifício, não tem jeito de as pessoas ganharem, elas vão perder" . Eles a aprovaram e, o que é pior, ainda comemoraram, sabendo que o povo mais humilde, mais pobre é que está fazendo esse sacrifício. Disseram que a reforma vai resolver o problema da economia. Balela! Mais uma  fake new s deste Governo, mais uma  fake news  daqueles que defendem esta proposta. Aliás, o próprio  Valor Econômico  de hoje, assim como outros jornais, tem uma análise que diz claramente que a reforma da Previdência não é a solução econômica de que o Brasil precisa. Será que o Seu João que parou a reforma na casa dele a parou porque existe um debate no Congresso sobre a reforma da Previdência? Com certeza, não. Não tem nada a ver uma coisa com a outra. Será que a D. Maria que está desempregada está desempregada porque existe nesta Casa um debate sobre a reforma da Previdência? Com certeza, não. Será que a família que enxugou o seu orçamento o enxugou porque existe um debate aqui sobre a reforma da Previdência? Não. O problema é economia, é estímulo econômico, é diretriz, é geração de emprego. Criaram uma mentira, geraram o caos, enganaram o povo. Será que as pessoas ficarão felizes em saber que a pensão da viúva vai ser cortada, que ela pode receber uma pensão menor do que o salário mínimo? Com certeza, não. Essa é uma das crueldades. Será que as pessoas ficarão felizes, Deputado Henrique Fontana, ao saber que elas teriam direito a uma aposentadoria em torno de 2 mil reais, mas, com a aprovação dessa proposta, receberão em torno de 1.300 reais? É uma redução drástica justamente na renda familiar dos mais humildes. Que privilégio há nisso? Que privilégio estão combatendo? Senhoras e senhores, disseram que iriam mexer em privilégios de juízes, que iriam mexer, inclusive, nas aposentadorias do Congresso, mas não mexeram numa vírgula. Podem mexer para o futuro, mas no resto não mexeram em nada. É balela, literalmente é balela. Senhoras e senhores, ontem cometemos essa crueldade, uma crueldade com base na mentira, com base em velhas práticas políticas, o que o Sr. Presidente disse à época que iria combater. Aliás, ele disse que iria combater a reforma da Previdência, que iria combater a política das emendas, a política do compadrio, mas não foi isso o que nós vimos nos últimos dias; foi o contrário. E o que aconteceu aqui fez com que uma juíza de Brasília, da 4ª Vara, a pedido da bancada do PT, suspendesse o pagamento das emendas, porque há várias ilegalidades. Infelizmente, 16 minutos após, do nada, sem ninguém pedir, sem ninguém provocar, ela vai lá e muda a decisão. Com base em que ela fez isso? Será que ela recebeu algum tipo de mensagem? Será que ela recebeu algum tipo de pressão oculta? Porque no processo não há nenhum documento contrário, pedindo a ela que revogasse aquela decisão. Senhoras e senhores, nós vamos votar os destaques daqui a pouco. Os senhores fizeram uma maldade ontem. Agora, ajudem pelo menos a diminuir o impacto, votando nos destaques que beneficiam os professores, as mulheres e outras categorias. É possível amenizar o impacto. É possível fazer um mínimo, um mínimo, de justiça, porque o conjunto é um desastre. Então, votemos... (Desligamento automático do microfone.)
RODRIGO MAIA|DEM|RJ|Tem a palavra o Deputado Daniel Almeida, para uma questão de ordem.
DANIEL ALMEIDA|B|BA|Sr. Presidente, o art. 83 possibilita a apreciação de requerimento para tratar de alteração na Ordem do Dia. Existem várias emendas aglutinativas. A bancada do PCdoB encaminhou um requerimento à Mesa solicitando que se aprecie a Emenda Aglutinativa nº 11, preferencialmente. Ou seja, existem várias emendas aglutinativas, a nossa solicitação é que se dê preferência à Emenda Aglutinativa nº 11, que trata de entendimento feito com a bancada feminina. E, neste caso específico da Emenda Aglutinativa nº 11, há a garantia de que o tema relacionado à pensão por morte seja tratado numa outra oportunidade. Então, gostaria que V.Exa. encaminhasse a apreciação deste requerimento.
RODRIGO MAIA|DEM|RJ|Deputado, infelizmente não é possível acatar a sua questão de ordem, até porque o art. 160 diz:  "Será permitido a qualquer Deputado, antes de iniciada a Ordem do Dia (...)." Se prevalecesse esse encaminhamento, a obstrução iria ser infinita na Câmara de Deputados. Não votaríamos nada, nunca mais, se fôssemos por esse caminho. Nós já temos a questão das aglutinativas, que é uma interpretação duvidosa. E cabe, é claro, para cada votação, o destaque de preferência, que não foi apresentado.
DANIEL ALMEIDA|B|BA|Sr. Presidente, é um requerimento. Há um precedente, na Questão de Ordem nº 84, de 2015, que trata exatamente deste tema. E ele trata de definir a prioridade entre as emendas aglutinativas, que há várias na mesa. É um requerimento, Sr. Presidente, de preferência.
RODRIGO MAIA|DEM|RJ|Eu vou recolher sua questão de ordem e vou analisá-la, porque ainda temos o requerimento de retirada de pauta para ser votado. Concedo a palavra ao Sr. Deputado Samuel Moreira, para encaminhar contrariamente à matéria.
SAMUEL MOREIRA|PSDB|SP|Sr. Presidente, Srs. Deputados, Sras. Deputadas, viemos encaminhar, obviamente, contrariamente ao requerimento de retirada de pauta da PEC que trata da reforma da Previdência. Nós a debatemos ontem, mas a votação não foi concluída. Mais uma vez, quero agradecer a todos pela votação de ontem. Votamos um relatório, um substitutivo construído por cada um de vocês, pela grande maioria desta Casa. Agora, nós precisamos dar sequência. Estamos debatendo aqui, é óbvio, e nós já falamos um pouco sobre isto, os ganhos sociais e o ganho fiscal que este substitutivo obteve, graças à colaboração de cada Deputado e de cada Deputada. E é óbvio que a reforma, como disse o Deputado que nos antecedeu, não resolve tudo. É óbvio que não. É preciso que o Governo faça, a partir daí, a sua parte. Nós estamos apenas construindo um alicerce para que o Governo tome outras medidas nas áreas de saúde, educação, desenvolvimento econômico. A Câmara Federal não falta ao Brasil. Ela não faltou ontem e não faltará ao Brasil, por isso vai dar sequência a esta votação. É isso o que a sociedade espera do nosso Parlamento. Sobre os destaques, precisamos ter muito cuidado na votação deles. Precisamos continuar juntos, trabalhar nos destaques que forem tratados por acordo de maioria, porque haverá destaques que podem destruir a votação de ontem, destruir a estrutura da reforma que cada um aqui pôde produzir, a partir do substitutivo. Precisamos ficar muito atentos. Haverá aqui encaminhamentos que dirão quais destaques são por acordo, quais destaques são da Oposição, quais destaques podem destruir, efetivamente, a reforma. Nós precisamos ficar muito atentos. Nós vamos avançar em acordos. Há avanços relativos às mulheres, para melhorar as condições delas e também de algumas categorias. De fato, compreendemos que precisamos cada vez mais fortalecer servidores da ativa, com melhores salários, com melhores condições de trabalho, com carga horária reduzida, seja para o policial, seja para o professor, que transmite conhecimento para o aluno na sala de aula, que precisa ganhar melhor efetivamente neste País Š é verdade, o professor tem que ganhar melhor. Diferente de ontem, com destaques que retiravam categorias da reforma, nós vamos construir, por entendimento, avanços que melhorem as condições dessas categorias na reforma, mas que não destruam a estrutura da reforma, que possam inclusive ser compensadores por avanços na receita, dentro de um entendimento da grande maioria deste Parlamento. Nós precisamos avançar. Nós temos convicção de que a reforma é, certamente, o caminho para proteger os mais pobres, os desvalidos. Podem ter certeza! Esse é o caminho daquele que, por invalidez, não consegue ganhar seu sustento. É para isso a reforma. É a proteção do idoso, que, depois de uma longa vida laboral, perdeu a capacidade de trabalho. É para isso a reforma. A reforma não é para o Governo, não é para a Oposição, não é nem para a Direita nem para a Esquerda. A reforma é para o Brasil. Não adianta querermos achar que, sendo perdulários ou levando a benefícios impagáveis, nós vamos chegar a algum lugar. Não vamos! Benefício sem orçamento é demagogia. É muito fácil vir aqui e dizer "sim" para tudo. É superfácil, mas não é possível nesta hora. O Brasil espera de nós o que fizemos ontem. Espera que nós continuemos neste caminho, convictos de que este é um texto que foi produzido, discutido por todos nós. Ele está muito melhor do que aquele que o Governo mandou para cá. Vamos em frente!
RODRIGO MAIA|DEM|RJ|Orientação de bancada. Como vota o Bloco do PP?  (Pausa.) Como vota o PSL?  (Pausa.) Como vota o PT?  (Pausa.)
ALEXANDRE FROTA|PSL|SP|Presidente, o PSL vota "não".
RODRIGO MAIA|DEM|RJ|O PSL vota "não". Como vota o PT?  (Pausa.)
PEDRO LUCAS FERNANDES|PTB|MA|O Bloco vota "não", Presidente.
RODRIGO MAIA|DEM|RJ|O Bloco vota "não".
GIOVANI CHERINI|PL|RS|O PL vota "não", Sr. Presidente.
RODRIGO MAIA|DEM|RJ|O PL vota "não".
LUIZÃO GOULART|PRB|PR|O PRB vota "não", Sr. Presidente.
RODRIGO MAIA|DEM|RJ|O PRB vota "não". Como vota o NOVO?
ALEXIS FONTEYNE|NOVO|SP|O NOVO vota "não", Presidente.
RODRIGO MAIA|DEM|RJ|Como vota o Podemos?
ALUISIO MENDES|PODE|MA|O Podemos vota "não", Presidente.
RODRIGO MAIA|DEM|RJ|Como vota o PDT?
AFONSO MOTTA|PDT|RS|O PDT vai votar "sim", mas não está em obstrução.
RODRIGO MAIA|DEM|RJ|Como vota o PSD?
DARCI DE MATOS|PSD|SC|O PSD vota "não", Sr. Presidente.
RODRIGO MAIA|DEM|RJ|Como vota o PSOL?
EDMILSON RODRIGUES|PSOL|PA|O PSOL vota "sim" e quer contraditar os governistas, que alegam que esta reforma é a favor do povo e combate privilégios. Eu falei com um servidor terceirizado com 5 anos de contribuição consolidada. Ele tem que trabalhar mais 35 anos. É um jovem de trinta e poucos anos. Vai trabalhar até o fim da vida e não vai se aposentar. São os pobres que estão perdendo. Não há por que ter pressa para aprovar esta matéria, para dar satisfação ao grande capital financeiro. V.Exas. têm que admitir que a defesa que fazem e que a pressa que imprimem aqui é para servir ao grande capital e destruir a dignidade do povo. Não é possível nenhum tipo de argumento, inclusive contra os servidores do Executivo, que estão desde... (Desligamento automático do microfone.)
RODRIGO MAIA|DEM|RJ|O PSD vota "não".
GENECIAS NORONHA|SOLIDARIEDADE|CE|O Solidariedade vota "não".
RODRIGO MAIA|DEM|RJ|Como vota o PCdoB?
ORLANDO SILVA|B|SP|O PCdoB vota "sim", Presidente. Nós acreditamos que este Plenário, que ontem quase preservou os professores desta reforma, no dia de hoje tem o dever de voltar ao tema e preservar os professores da educação infantil, do ensino fundamental, do ensino médio; preservar educadores que cuidam das nossas crianças e que se dedicam a isso desde muito cedo. O professor é uma categoria profissional que começa a trabalhar muito cedo. Muitos jovens com 22 anos, 23 anos já estão há bastante nas salas de aula. E a nossa expectativa Š há inclusive uma proposta do PDT nesse sentido Š é que nós possamos corrigir o erro cometido ontem que impôs aos educadores brasileiros esta reforma tão perversa. Nós somos favoráveis à retirada de pauta, porque somos favoráveis à defesa da educação e dos educadores.
RODRIGO MAIA|DEM|RJ|Como vota o PSB?  (Pausa.) Como vota o PSDB?  (Pausa.)
ELI CORRÊA FILHO|DEM|SP|O Democratas vota "não".
ELIAS VAZ|PSB|GO|Presidente, o PSB vota "sim" e continua denunciando que esta reforma da Previdência é uma farsa. Ao contrário do que dizem, esta reforma não retira privilégios. É só verificar o que aconteceu na votação na Comissão Especial, às 2 horas da madrugada, do dia em que foi ela apreciada: a retirada da obrigação de os grandes fazendeiros exportadores pagarem 2,6% em tributos, causando um impacto de 84 bilhões de reais a menos na Previdência. A manutenção desse pagamento seria combater privilégios. Aquilo que foi feito lá significa, na verdade, fazer com que a classe trabalhadora, a parte mais pobre da sociedade, pague pelo ajuste fiscal necessário no País. Nós não concordamos com isso, porque vai aprofundar ainda mais a desigualdade social.
LEANDRE|PV|PR|Presidente, o PV orienta "não".
DA VITORIA|CIDADANIA|ES|Sr. Presidente, o Cidadania orienta "não", porque nós precisamos avançar com a reforma da Previdência. Nós já demos uma contribuição ontem e vamos fazer da mesma forma hoje, para podermos fazer essa entrega ao Brasil semana que vem.
RODRIGO MAIA|DEM|RJ|Como vota a Minoria?  (Pausa.) Como vota a Oposição?  (Pausa.)
GASTÃO VIEIRA|PROS|MA|O PROS orienta "não", Sr. Presidente.
ALCEU MOREIRA|MDB|RS|Peço a palavra pela Maioria, Presidente.
RODRIGO MAIA|DEM|RJ|A Maioria é a última. Tem a palavra a Minoria e, depois, a Oposição.
JANDIRA FEGHALI|B|RJ|Sr. Presidente, é óbvio que nós temos que apoiar a retirada de pauta, porque ontem na verdade se votou a coluna do texto, mas o que decide, de fato, o resultado final desta matéria é a votação dos destaques. Há destaques aqui muito importantes para serem definidos, cuja construção não está ainda concluída, a exemplo do destaque do PCdoB, o único destaque capaz de garantir o salário mínimo na pensão por morte. E eu vejo que a Mesa, na sua análise regimental, que na nossa opinião está errada, quer prejudicá-lo. Isso significa que as mulheres não terão saída para garantir o salário mínimo na pensão por morte. Então, é necessário se ter... (Desligamento automático do microfone.)
RODRIGO MAIA|DEM|RJ|Como vota a Oposição?
ALESSANDRO MOLON|PSB|RJ|Presidente, a Oposição vota a favor da retirada de pauta, em especial porque, à medida que os brasileiros vão conhecendo do que trata esta proposta de reforma da Previdência, eles vão se convencendo da crueldade dos efeitos dela. Portanto, a retirada de pauta, no nosso entendimento, é fundamental para que nós tenhamos tempo para explicar, para mostrar a todas as pessoas o que ocorrerá com a vida delas. Os brasileiros que defendem a reforma da Previdência sabem que é necessário fazer ajustes, mas sem sacrificar as pessoas como estão sendo sacrificadas. Nós da Oposição temos compromisso com a responsabilidade fiscal, mas não abrimos mão da responsabilidade social. Queremos olhar os números, queremos que a conta feche, mas não perdemos de vista as pessoas, a vida das pessoas. Por isso, a Oposição vota "sim", Presidente.
RODRIGO MAIA|DEM|RJ|Como vota o PSDB?  (Pausa.) O PROS já votou "não". Como vota o Patriota?  (Pausa.) Como vota o Governo?
MAJOR VITOR HUGO|PSL|GO|O Governo orienta "não", Presidente.
RODRIGO MAIA|DEM|RJ|Com vota a Maioria?
HENRIQUE FONTANA|PT|RS|Presidente...
