autor|partido|uf|discurso
MARCELO RAMOS|PL|AM|O tempo de V.Exa. é para a apresentação de uma questão de ordem. Peço que V.Exa. apresente a questão de ordem. Reunião de: 13/06/2019
GLEISI HOFFMANN|PT|PR|Quero, inclusive, um esclarecimento de V.Exa.: por que utilizamos apenas 16 sessões para discutir uma matéria dessa relevância? Por que fazer isso com rapidez? Nós estamos mexendo com a vida das pessoas. São milhões de pessoas que terão suas vidas modificadas pela discussão que vamos fazer aqui. Por que há pressa, Sr. Presidente? Nós devíamos, sim, suspender a leitura desse relatório e deixá-la para a próxima semana. Eu quero deixar registrada a nossa posição de contrariedade a essa forma açodada de lidar com a matéria, embora não tenhamos a maioria aqui para vencer. A outra questão é baseada no art. 115 do Regimento Interno. Dos 11 requerimentos de informação aprovados pela Comissão, apenas um foi respondido. Os demais nem sequer saíram da Comissão. Como ter uma formação de juízo sobre a matéria se não temos respostas a questões que são importantes e apresenta-se um relatório sem essas respostas? Até agora não temos os microdados do impacto orçamentário da reforma! Não resolve dizer que se vai tirar a capitalização da PEC e jogá-la para a lei complementar. Nós não temos informações sobre os impactos em geral. Portanto, Sr. Presidente, com base no art. 117, eu queria solicitar a V.Exa., mesmo havendo o acordo de procedimentos, que pudéssemos estender o prazo desta Comissão para fazer uma discussão mais aprofundada da matéria.
MARCELO RAMOS|PL|AM|Deputada Gleisi, primeiro, quero informar a V.Exa. que o Regimento fala em até 40 sessões, e 16 sessões estão dentro do prazo de até 40 sessões. Portanto, não há nenhuma contradição regimental. (Intervenção fora do microfone.)
MARCELO RAMOS|PL|AM|Foram 18, não é? Já foram realizadas 18 sessões, e haverá mais as que nós realizaremos ainda. Portanto, não há nenhum descumprimento às regras regimentais. Segundo, apenas corrigindo a informação de V.Exa., os requerimentos de informação saíram desta Mesa Diretora da Comissão, no dia 9, para a Mesa da Casa. A responsabilidade, a partir daí, é da Mesa da Casa, porque não somos nós que solicitamos requerimentos de informação. Portanto, a questão de ordem de V.Exa. está indeferida. Passo aos trabalhos. Em apreciação a Ata da 13ª Reunião, realizada no dia 30 de maio, cujas cópias estão à disposição dos senhores membros. Indago ao Plenário se há necessidade da leitura da ata. (Intervenção fora do microfone.)
MARCELO RAMOS|PL|AM|Dispensada a leitura da ata a pedido do Deputado Alexandre Frota. Indago se algum membro deseja retificar a ata.  (Pausa.) Não havendo quem queira retificá-la, coloco-a em votação. Os Deputados que a aprovam permaneçam como se encontram.  (Pausa.) Aprovada. Comunico que a lista com a sinopse do expediente recebido se encontra disponível na mesa de apoio para V.Exas. Antes de passarmos à Ordem do Dia, presto alguns esclarecimentos acerca dos procedimentos que nortearão os trabalhos de discussão e votação do parecer do Relator nesta Comissão. A lista de inscrição para discussão encontra-se à disposição dos Srs. Deputados na mesa de apoio da Secretaria. Os Srs. Deputados terão a palavra na ordem de inscrição, alternadamente, contra e favor do parecer, conforme art. 171, § 1º. É permitida a permuta de inscrição entre os Deputados, porém, aqueles que não se encontrarem presentes na hora da chamada perderão definitivamente a sua inscrição. É bom que isso fique claro, porque fomos tolerantes, durante todo o processo de realização de audiências públicas, com a ausência de Deputados. Se eles eram chamados e não estavam presentes, quando retornavam, nós flexibilizávamos a regra e permitíamos a fala de muitos. Não haverá essa tolerância durante os trabalhos de debate agora. Os Deputados que não estiverem no momento da chamada perderão a sua vez de falar. No entanto, há a possibilidade de permuta. Se um Deputado perceber que está próxima a sua vez de falar e que ele não estará presente, pode permutar com outro Deputado. Deputado Bira, V.Exa. permite que eu conclua todos os procedimentos? (Intervenção fora do microfone.)
MARCELO RAMOS|PL|AM|Pois não, Deputado Bira do Pindaré. Reunião de: 13/06/2019
BIRA DO PINDARÉ|PSB|MA|Presidente, peço apenas que esclareça se há um acordo com a Presidência da Casa em relação ao funcionamento do Plenário, porque nós enfrentamos muita dificuldade na condução dos trabalhos das audiências em razão dessa correria de ter que ficar na Comissão e ao mesmo tempo ir ao plenário. Então, eu pediria a V.Exa. que desse um posicionamento em relação a isso.
MARCELO RAMOS|PL|AM|Eu fiz um apelo ao Presidente da Casa, e ele se demonstrou sensível a isso. Obviamente, pela lei do bom senso, porque isso não precisa estar escrito, podemos pactuar aqui que, na situação excepcional de estar havendo votação no plenário, faremos ajustes. Mas o ideal é que isso não ocorra. Já fiz essa solicitação ao Presidente da Casa, Deputado Bira do Pindaré. O prazo para discutir a matéria é de 15 minutos para membros da Comissão e Líderes e de 10 minutos para Deputados não membros, conforme dispõe o art. 57, inciso VII. O tempo de inscrição poderá ser somado ao tempo de Liderança, obedecida a ordem de inscrição dos membros. Que isto fique claro: a acumulação só será possível quando o Líder utilizar o tempo de inscrição dele segundo a lista ordinária. Se ele estiver utilizando tempo segundo a lista de Líderes, não poderá acumulá-lo com o tempo de inscrição da lista ordinária, mas poderá falar de forma desmembrada, poderá falar os 15 minutos do tempo de Líder e o outro tempo, na ordem normal da lista.
MARCEL VAN HATTEM|NOVO|RS|Pode dividir o tempo?
MARCELO RAMOS|PL|AM|No tempo de Líder, sim, desde que seja Vice-Líder com delegação, o.k.? O tempo de inscrito poderá ser somado ao tempo de Liderança, se obedecida a ordem de inscrição dos membros. Os Deputados que desejarem fazer a leitura de eventuais votos em separado deverão fazê-la de acordo com a lista de inscrição e pelo prazo já estabelecido, não lhes sendo permitido falar novamente. Os autores de eventuais votos em separado que não estiverem inscritos deverão encaminhar seu voto à Secretaria para inclusão na publicação do avulso. Os requerimentos de destaque poderão ser apresentados até o anúncio da votação, conforme o art. 162, inciso I. Ordem do Dia. Discussão e votação do parecer do Relator, o Deputado Samuel Moreira. Antes de passar a palavra aos que estão na lista de Líderes, comunico aos membros, à imprensa e à sociedade que o relatório já está disponível na página da Comissão. Dito isso, passo a palavra à Deputada Jandira Feghali, primeira Líder inscrita, pelo tempo de 5 minutos.
JOSÉ GUIMARÃES|PT|CE|Sr. Presidente, antes de os Líderes falarem, é importante para a imprensa que está aqui para ouvir, como ouvi de V.Exa., que não foi definida a data de 25 de junho. Isso tem importância grande. Não vou falar como Líder, porque outro companheiro da bancada falará, mas aproveito para parabenizar V.Exa., que chamou o feito à ordem e estabeleceu que o período de votações varia de acordo com a dinâmica e com o conteúdo dos debates. Portanto, não haverá data fixada em 25 de junho, como foi anunciado ontem. Muito obrigado.
MARCELO RAMOS|PL|AM|Deputado, antes de passar a palavra à Deputada Jandira, esclareço que o Deputado Rodrigo Maia tem sido absolutamente respeitoso no trato com esta Comissão e com esta Presidência. Ele tem sinalizado objetivos que partem da Presidência da Casa, e é natural que ele os sinalize, mas nós, em momento algum, indicamos uma data de votação, em momento algum dissemos que a data não estaria condicionada a esse prazo de debates conforme o acordo que foi definido entre nós. Com a palavra o Deputado Paulo Pereira da Silva.
PAULO PEREIRA DA SILVA|SOLIDARIEDADE|SP|Sr. Presidente, antes de a Líder Jandira falar, quero, primeiro, parabenizá-lo, porque esse procedimento que V.Exa. colocou é muito positivo. Segundo, eu queria verificar com V.Exa. a possibilidade de haver um acordo aqui nesta Comissão para o encerramento das sessões, porque essas sessões normalmente vão até 2 horas da manhã, até 3 horas da manhã. Eu acho que isso é meio incoerente. Poderíamos, talvez, trabalhar com a ideia de encerrarmos as sessões, já que elas vão começar às 9 horas, por volta das 9 horas da noite, ou seja, após 12 horas de debates aqui. Eu acho que esse seria um procedimento razoável, para que pudéssemos trabalhar o dia todo. Reunião de: 13/06/2019
MARCELO RAMOS|PL|AM|Deputado Paulinho, na reunião de coordenadores, eu trouxe a mim a responsabilidade e pedi um voto de confiança dos coordenadores para que avaliássemos isso sessão por sessão, levando em consideração regras de bom senso. Eu não sei ainda o número de inscritos. Há dias em que levamos o Plenário até meia-noite, até 2 horas da manhã, e o objetivo não é esse. Nós evitaremos, de todas as formas, debates pela madrugada. Além disso, eu não avancei para definir uma data de encerramento. A cada reunião faremos uma avaliação aqui no plenário. Passo a palavra à Deputada Jandira Feghali, pelo tempo acordado de 5 minutos.
JANDIRA FEGHALI|B|RJ|Sr. Presidente, em primeiro lugar, quero registrar a importância de que o Presidente desta Comissão afirme Š e isso é uma conquista da autonomia da Comissão Š que não há data para a votação nesta Comissão. Acho que isso é uma conquista política diante do que ocorreu ontem, quando o Presidente Rodrigo Maia anunciou uma data para a votação nesta Comissão. Isso foi um abuso diante de uma Comissão que deve funcionar autonomamente. Não é papel do Presidente da Casa determinar a data da votação na Comissão Especial da Previdência e chamar uma entrevista coletiva à imprensa para isto. Em segundo lugar, Sr. Presidente, nós tentamos durante toda a semana adiar a leitura do relatório não por um processo puramente procrastinatório, mas porque nós achamos que esta era uma semana de afirmação da democracia, de afirmação do Parlamento diante das denúncias, da divulgação que fez o The Intercept de uma verdadeira mácula na democracia brasileira. Aproveito para registrar aqui a minha solidariedade ao jornalista Glenn Greenwald e à sua família pelos ataques sofridos. Mas pior do que os ataques sofridos é o não reconhecimento da veracidade das informações por parte de alguns que tentam negar a verdade quando os próprios acusados nas matérias não negam o conteúdo dos textos. Achamos que este é o momento de a Câmara reafirmar a sua presença na democracia brasileira e dedicar todo o seu tempo de debate... Peço silêncio àqueles que estão na parte de trás desta sala, porque há uma Liderança falando.
MARCELO RAMOS|PL|AM|Aguarde só um pouquinho, Deputada Jandira. Numa atitude de respeito, eu peço que suspendam o tempo da Deputada Jandira. Apelo principalmente para as assessorias. Nós estamos num momento fundamental do debate mais importante do País, talvez, na última década. Nós precisamos ter aqui a atitude cordata de possibilitar que todos possam falar com o silêncio dos demais. A porta é ali ao lado. Não há nenhum problema em sair um pouquinho, conversar e voltar; atender o telefone lá fora e voltar. Mas aqui precisamos ouvir os Deputados e Deputadas. Deputada Jandira, eu retorno o tempo de V.Exa.
JANDIRA FEGHALI|B|RJ|Eu penso, Sr. Presidente, que esta semana deveria ter sido completamente dedicada ao debate fundamental da democracia brasileira, envolvendo todos os Parlamentares, independentemente de serem de Situação ou de Oposição. Deveríamos debater os mecanismos de investigação, a convocação do Sr. Ministro, o afastamento do Ministro e dos procuradores, até porque um Ministro que tem que ser investigado não pode ter abaixo de si a Polícia Federal, que investiga. Ele não pode ser mantido no cargo, muito menos os procuradores. O que foi divulgado é um problema, é um precedente grave para a democracia, não é uma questão de Oposição e Situação. Então, nós deveríamos ter nos dedicar a isso e não deslocado o foco para o debate da Previdência, tirando-o da questão Moro e Dallagnol. Este assunto, sim, deveria ser o foco, porque é grave, teve repercussão na soberania do voto popular, na democracia brasileira, na condenação de pessoas. E terão repercussão outros textos que ainda aparecerão, já que apenas 1% do conteúdo foi divulgado. Ainda virão mais coisas. Nós precisamos ter muito cuidado, porque está em curso um conluio, dentro do sistema de justiça, de juízes e procuradores. Isso macula a imagem da Justiça brasileira, macula a imagem do Ministério Público Federal, da Suprema Corte, da defesa, que precisa ter espaço igual ao da acusação. Isso é muito grave. Por isso, nós tentamos, durante toda a semana, sustar a pauta da Câmara Š e conseguimos Š, sustar os debates, para não tirar do foco aquele que é o debate principal da Câmara, do Parlamento brasileiro. O Parlamento foi agredido por este Sr. Moro, que, durante 4 anos, criminalizou a política. Nós não estamos aqui para esconder corrupções. Os verdadeiros corruptos têm que ser punidos, mas inocentes foram punidos sem terem culpa e sem provas. Provas foram forjadas; processos fraudulentos foram construídos para acusar, denunciar, prender. Foram construídos institutos de delações premiadas e outros tantos que nós sabemos. Portanto, nós não deveríamos sequer estar discutindo temas que não fossem os temas da democracia brasileira. No entanto, chegamos aqui e estamos no debate. Na verdade, hoje teremos apenas a leitura do relatório. Mas não posso deixar de Reunião de: 13/06/2019 fazer uma crítica ao que houve ontem, quando ocorreram dois fatos que considero graves. É necessário que o Parlamento estabeleça regras éticas, independentemente de nossas divergências. Quero aqui, Sr. Relator, dirigir-me a V.Exa. com todo o respeito. Quero dizer que não foi correto o comportamento de V.Exa. ontem conosco da Minoria. V.Exa. foi até nós porque combinamos uma reunião, que V.Exa., inclusive, pediu, assim como nós. V.Exa. ficou conosco um tempo pequeno e esclareceu muito pouco para nós do seu relatório, mas percebemos que os pobres ainda pagarão a crise e essa reforma, e pagarão muito. V.Exa. nos pediu para não falarmos com a imprensa, garantindo que o senhor também não falaria, e saiu correndo de lá dizendo que ia para uma reunião com outros partidos. Mas V.Exa. correu de lá para uma coletiva, Relator. Quando nós vimos isso, fomos correndo para lá, e estava sendo anunciada ali uma concertação da Casa. Quero dizer e declarar aqui que não houve concertação com a Casa. Nós não participamos de nenhum acordo de conteúdo. Não participamos de acordo nenhum quanto ao conteúdo desse relatório. Nós não temos compromisso com o conteúdo desse relatório. Nós somos contra a reforma da Previdência. Amanhã haverá uma greve da sociedade brasileira demonstrando que a maioria da sociedade é contra esta reforma. (Desligamento automático do microfone.)
MARCELO RAMOS|PL|AM|Deputada Jandira, vou lhe dar 10 segundos, mas não vamos ampliar essa concessão. V.Exa. tem 10 segundos.
JANDIRA FEGHALI|B|RJ|Quero apenas declarar, Presidente, que nós vamos apoiar essa greve da sociedade brasileira, que é contra esta reforma, e trabalharemos na obstrução da votação, seguindo o procedimento dos debates. Obrigada, Presidente.
MARCELO RAMOS|PL|AM|Obrigado, Deputada Jandira. Antes de passar a palavra ao próximo Líder inscrito, que é o Deputado Major Vitor Hugo, eu passo a palavra ao Relator.
SAMUEL MOREIRA|PSDB|SP|Bom dia a todos. Só para recolocar a verdade no seu devido lugar, não há nenhum compromisso em relação a não ir à imprensa ou não falar com a imprensa. Deputada Jandira, eu revelei a vocês, numa reunião, boa parte do relatório. Nós fizemos uma boa conversa. Falei do BPC, falei de tudo o que esta Casa sempre nos cobrou, inclusive V.Exas. Porém, não seria justo que uma reivindicação feita por vários Líderes que estão apoiando a reforma fosse anunciada numa reunião com V.Exas. O mérito era deles. V.Exas. somam, mas eles são a favor da reforma. Eles lutaram por isso.  (Palmas.) Foi revelado o BPC, o acordo com os Governadores. Foi isso o que eu revelei na reunião. Revelei o entendimento que houve com os Governadores. Esse que foi o entendimento. Eu lamento, mas é importante restabelecermos a verdade. Esse assunto absolutamente secundário é usado absolutamente no sentido de impedir o andamento da reforma. Se V.Exa. acha que o Moro é mais importante do que a reforma, eu não acho, não sei se o Brasil acha. A reforma e esse outro assunto podem caminhar simultaneamente. Por que parar a reforma da Previdência? Nós temos que caminhar. O Brasil está esperando. Está todo mundo esperando. Façamos as coisas simultaneamente e de maneira urgente.  (Palmas.)
MARCELO RAMOS|PL|AM|Com a palavra o Deputado Major Vitor Hugo.
MARCEL VAN HATTEM|NOVO|RS|Sr. Presidente...
JANDIRA FEGHALI|B|RJ|Questão de ordem, Presidente.
MARCELO RAMOS|PL|AM|Deputada Jandira... (Intervenções fora do microfone.)
MARCELO RAMOS|PL|AM|Pessoal, peço só um segundo. Eu não posso negar questão de ordem, mas eu posso negar questão de ordem que não tenha fundamento regimental. Então, eu peço a V.Exa. que se atenha exclusivamente à questão de ordem. Eu, de forma constrangida, cortarei o microfone se a questão de ordem não for regimental. Reunião de: 13/06/2019
JANDIRA FEGHALI|B|RJ|Para a questão de ordem, preciso de apenas 1 minuto, Presidente. Eu nem quero 3 minutos. Apenas quero dizer que não é aceitável...
MARCELO RAMOS|PL|AM|Qual é o fundamento regimental, Deputada Jandira?
JOSÉ GUIMARÃES|PT|CE|Presidente, deixa... (Intervenção fora do microfone.)
MARCELO RAMOS|PL|AM|O art. 95 não é fundamento, ele apenas disciplina questão de ordem, Deputado.
JOSÉ GUIMARÃES|PT|CE|Pelo menos escute, Deputado Marcelo...
MARCELO RAMOS|PL|AM|Não, não, espere aí. Deputado Guimarães, espere aí. Se eu pelo menos escutar todos que pedem questão de ordem e utilizam 3 minutos para falar de um tema que não é questão de ordem, nós inviabilizamos a reunião. Vamos ser razoáveis.
JOSÉ GUIMARÃES|PT|CE|Trata-se de uma pessoa!
JANDIRA FEGHALI|B|RJ|Eu fui citada como mentirosa, Presidente. Aí não dá.  (Manifestação na plateia: Não!)
MARCELO RAMOS|PL|AM|Deputada Jandira, eu vou dar um tempo para V.Exa. procurar o dispositivo regimental e fundamentar a questão de ordem. Enquanto isso, o Deputado Major Vitor Hugo tem a palavra.
JANDIRA FEGHALI|B|RJ|O fundamento é o art. 74, inciso VII, Sr. Presidente.
MARCELO RAMOS|PL|AM|Então, o Major Vitor Hugo tem a palavra, e, após o Major Vitor Hugo falar, eu passarei a palavra a V.Exa. (Intervenção fora do microfone.)
MARCELO RAMOS|PL|AM|Pois não. Então, faça a sua...
JANDIRA FEGHALI|B|RJ|Questão de ordem com base no art. 74, inciso VII. O Sr. Relator Š todos os Líderes da Oposição vão confirmar isso, porque estavam na reunião Š pediu na reunião que não falássemos com a imprensa. Eu perguntei:  "O senhor também não vai falar?"  Ele disse:  "Eu também não vou falar com a imprensa".  Existiu um pedido para que nós não explicitássemos nada à imprensa, até por que ele falou muito pouco do relatório. Nunca nós pedimos a ele que falasse de acordo dele com outros partidos. Nós fizemos várias questões a ele sobre o relatório, e ele não explicitou suas posições. Nós não forçamos a barra para que ele dissesse...
MARCELO RAMOS|PL|AM|Qual é a questão de ordem, Deputada Jandira?
JANDIRA FEGHALI|B|RJ|É a explicitação, por 1 minuto, do que ele disse. (Intervenções fora do microfone.)
JANDIRA FEGHALI|B|RJ|Ué, a questão de ordem é repor a verdade. É o que o art. 74... (Intervenção fora do microfone.)
JANDIRA FEGHALI|B|RJ|Não, não repus não. Ele disse que estava repondo a verdade. Quem está repondo a verdade sou eu, e os outros Líderes vão dizer isso. A questão de ordem é repor a verdade. Eu nunca desrespeitei este Relator. Tenho uma relação ótima com ele, sempre tive. Mas ele dizer que está repondo a verdade e me desmentir de público, isso ele não fará! Ele pediu para não falarmos com a imprensa, nós tivemos o cuidado de não fazê-lo, e ele saiu de lá correndo para ir para uma coletiva explicitar pontos do relatório. Isso não foi ético conosco. Ele não podia ter colocado pontos do relatório antes de falar com esta Comissão. Isso desrespeitou a Comissão e desrespeitou a todos nós. É isso que tinha a dizer, Presidente.
MARCELO RAMOS|PL|AM|O.k., Deputada. A questão de V.Exa. é uma questão relacionada ao direito de resposta no caso de acusação. Eu entendo que não existe acusação, mas V.Exa. até já se manifestou. A questão de ordem está prejudicada. Reunião de: 13/06/2019 Eu passo a palavra... (Intervenção fora do microfone.)
MARCELO RAMOS|PL|AM|Está prejudicada porque V.Exa. já fez as suas justificativas. Concedo a palavra ao Major Vitor Hugo.
MAJOR VITOR HUGO|PSL|GO|Sr. Presidente, queria inicialmente reforçar suas palavras sobre o momento crucial que nós vivemos neste Colegiado. Este é verdadeiramente um momento fundamental. A nossa fala vai ser breve. Quero basicamente pontuar certas questões e parabenizar V.Exa. pela condução dos trabalhos e por V.Exa., junto com o Relator e todos os membros desta Comissão, ter construído de um plano de trabalho que possibilite um debate. Tenho certeza de que isso será expresso agora com a leitura do relatório do Deputado Samuel Moreira, cuja abertura, profundidade, dedicação e esmero eu também faço questão de ressaltar. Particularmente, temos a certeza da qualidade do relatório que será lido em poucos minutos. Queria ressaltar também que, certamente, o assessoramento da consultoria legislativa presente foi crucial para V.Exa. Acompanhei os trabalhos e queria parabenizar a todos os consultores que ajudaram V.Exa. Quero reforçar, muito rapidamente, a confiança que o Governo, assim como o País, tenho certeza, tem no Ministro Sergio Moro, que já se pronunciou e se dispôs a ir voluntariamente à Comissão de Constituição e Justiça do Senado na semana que vem e também à nossa CCJ da Câmara dos Deputados no dia 26. Tenho certeza de que o País, nos moldes do que o Presidente da República tem feito, confia em tudo aquilo que o Ministro Moro fez diante da magnitude dos crimes de corrupção e lavagem de dinheiro praticados no nosso País. Então, quero reafirmar aqui a nossa confiança no Ministro. Tenho certeza também de que a aprovação desta reforma da Previdência vai permitir que nós avancemos em outras pautas importantíssimas para o País, como a reforma tributária, a revisão do pacto federativo, as privatizações e tantas outras pautas já anunciadas pelo Governo. Nesse sentido, na esperança de construir uma Previdência mais justa, solidária, sustentável e equilibrada, parabenizo todos nós, de modo especial o nosso Relator, por chegarmos a este momento. Muito obrigado.
MARCELO RAMOS|PL|AM|Obrigado, Deputado Major Vitor Hugo. Concedo a palavra ao Deputado André Figueiredo, que falará pela Liderança do PDT.
